state,election_year,demVote,repVote,winner
OR,1978,341616,550165,HATFIELD (R OR)
RI,1978,229557,76061,PELL (D RI)
SC,1978,280146,351917,THURMOND (R SC)
SD,1978,84767,179832,PRESSLER (R SD)
TN,1978,466228,642644,BAKER (R TN)
TX,1978,1139149,1151376,TOWER (R TX)
VA,1978,608511,613232,WARNER (R VA)
WV,1978,249034,244317,RANDOLPH (D WV)
WY,1978,50456,82908,SIMPSON (R WY)
AZ,1976,400334,321236,DECONCINI (D AZ)
CA,1976,3502862,3748973,HAYAKAWA (R CA)
CT,1976,561018,719261,WEICKER (R CT)
DE,1976,98042,125454,ROTH (R DE)
FL,1976,1799518,1057886,CHILES (D FL)
HI,1976,162305,122724,MATSUNAGA (D HI)
IN,1976,868522,1275833,LUGAR (R IN)
ME,1976,292704,193489,MUSKIE (D ME)
MD,1976,772101,530439,SARBANES (D MD)
MA,1976,1726657,722641,KENNEDY (D MA)
MI,1976,1831031,1635087,RIEGLE (D MI)
MN,1976,1290736,478602,HUMPHREY (D MN)
MS,1976,554433,0,STENNIS (D MS)
MO,1976,813571,1090067,DANFORTH (R MO)
MT,1976,206232,115213,MELCHER (D MT)
NE,1976,313805,279284,ZORINSKY (D NE)
NV,1976,127214,63471,CANNON (D NV)
NJ,1976,1681140,1054508,WILLIAMS (D NJ)
NM,1976,176382,234681,SCHMITT (R NM)
NY,1976,3512594,2836633,MOYNIHAN (D NY)
ND,1976,175772,103466,BURDICK (D ND)
OH,1976,1941113,1823774,METZENBAUM (D OH)
PA,1976,2126977,2381891,HEINZ (R PA)
RI,1976,167665,230329,CHAFEE (R RI)
TN,1976,751180,673231,SASSER (D TN)
TX,1976,2199956,1636370,BENTSEN (D TX)
UT,1976,223948,290221,HATCH (R UT)
VT,1976,85682,94481,STAFFORD (R VT)
VA,1976,596009,890778,BYRD (Indep VA)
WA,1976,1071219,361546,JACKSON (D WA)
WV,1976,566359,0,BYRD (D WV)
WI,1976,1396970,521902,PROXMIRE (D WY)
WY,1976,70558,84810,WALLOP (R WY)
AL,1974,501541,21749,ALLEN (D AL)
AK,1974,54361,38914,GRAVEL (D AK)
AZ,1974,229523,320396,GOLDWATER (R AZ)
AR,1974,461056,82026,BUMPERS (D AR)
CA,1974,3639334,2176315,CRANSTON (D CA)
CO,1974,471688,325526,HART (R CO)
CT,1974,690820,372055,RIBICOFF (D CT)
FL,1974,781031,736674,STONE (D FL)
GA,1974,627376,246866,TALMADGE (D GA)
HI,1974,207454,42767,INOUYE (D HI)
ID,1974,145140,109072,CHURCH (D ID)
IL,1974,1811496,1084884,STEVENSON (D IL)
IN,1974,889269,814117,BAYH (D IN)
IA,1974,426947,420546,CULVER (D IA)
KS,1974,390451,403983,DOLE (R KS)
KY,1974,398887,328260,FORD (D KY)
LA,1974,434643,0,LONG (D LA)
MD,1974,374563,503223,MATHIAS (R MD)
MO,1974,735433,480900,EAGLETON (D MO)
NV,1974,78981,79605,LAXALT (R NV)
NH,1974,110924,110926,WYMAN (R NH)
NY,1974,1973781,2340188,JAVITS (R NY)
NC,1974,633775,377618,MORGAN (D NC)
ND,1974,114675,114852,YOUNG (R ND)
OH,1974,1930670,918133,GLENN (D OH)
OK,1974,387162,390997,BELLMON (R OK)
OR,1974,338591,420984,PACKWOOD (R OR)
PA,1974,1596121,1843317,SCHWEIKER (R PA)
SC,1974,356126,146645,HOLLINGS (D SC)
SD,1974,147929,130955,MCGOVERN (D SD)
UT,1974,185377,210299,GARN (R UT)
VT,1974,67125,66223,LEAHY (D VT)
WA,1974,611811,363626,MAGNUSON (D WA)
WI,1974,740700,429327,NELSON (D WI)
AL,1972,654491,347523,SPARKMAN (D AL)
AK,1972,21791,74216,STEVENS (R AK)
AR,1972,386398,248238,MCCLELLAN (D AR)
CO,1972,457545,447957,HASKELL (D CO)
DE,1972,116006,112844,BIDEN (D DE)
GA,1972,635970,542331,NUNN (D GA)
ID,1972,140913,161804,MCCLURE (R ID)
IL,1972,1721031,2867078,PERCY (R IL)
IA,1972,662637,530525,CLARK (D IA)
KS,1972,200764,622591,PEARSON (R KS)
KY,1972,528550,494337,HUDDLESTON (D KY)
LA,1972,598987,206846,JOHNSTON (D LA)
ME,1972,224270,197040,HATHAWAY (D ME)
MA,1972,823278,1505932,BROOKE (R MA)
MI,1972,1577178,1781065,GRIFFIN (R MI)
MN,1972,981320,742121,MONDALE (D MN)
MS,1972,375102,249779,EASTLAND (D MS)
MT,1972,163609,151316,METCALF (D MT)
NE,1972,265922,301841,CURTIS (R NE)
NH,1972,184495,139852,MCINTYRE (D NH)
NJ,1972,963573,1743854,CASE (R NJ)
NM,1972,173815,204253,DOMENICI (R NM)
NC,1972,677293,795248,HELMS (R NC)
OK,1972,478212,516934,BARTLETT (R OK)
OR,1972,425036,494671,HATFIELD (R OR)
RI,1972,221942,188990,PELL (D RI)
SC,1972,241056,415806,THURMOND (R SC)
SD,1972,174773,131613,ABOUREZK (D SD)
TN,1972,440599,716539,BAKER (R TN)
TX,1972,1511985,1822877,TOWER (R TX)
VA,1972,643963,718337,SCOTT (R VA)
WV,1972,486310,245531,RANDOLPH (D WV)
WY,1972,40753,101314,HANSEN (R WY)
OK,1990,735684,148814,BOREN (D OK)
SD,1990,116727,135682,PRESSLER (R SD)
WV,1990,276234,128071,ROCKEFELLER (D WV)
WY,1990,56848,100784,SIMPSON (R WY)
SD,1986,152657,143173,DASCHLE (D SD)
GA,1980,776143,803686,MATTINGLY (R GA)
HI,1970,116597,124163,FONG (R HI)
IN,1970,870990,866707,HARTKE (D IN)
MS,1970,286622,37593,STENNIS (D MS)
NJ,1970,1157074,903026,WILLIAMS (D NJ)
NM,1970,151486,135004,MONTOYA (D NM)
OH,1970,1495262,1565682,TAFT (R OH)
TN,1970,519858,562645,BROCK (R TN)
TX,1970,1226568,1071234,BENTSEN (D TX)
VA,1970,294582,144765,RAWLINGS (D VA)
VT,1970,62271,91198,PROUTY (R VT)
WI,1970,948445,381297,PROXMIRE (D WI)
WY,1970,67207,53279,MCGEE (D WY)
LA,1968,518586,0,LONG (D LA)
NC,1968,870406,566934,ERVIN (D NC)
OH,1968,1814152,1928964,SAXBE (R OH)
VT,1968,62416,94738,AIKEN (R VT)
WI,1968,1020931,633910,NELSON (D WI)
AK,1968,36527,30286,GRAVEL (D AK)
AL,1968,638774,201227,ALLEN (D AL)
AR,1968,349965,241731,FULBRIGHT (D AR)
AZ,1968,205338,274607,GOLDWATER (R AZ)
CA,1968,3615261,3275679,CRANSTON (D CA)
CO,1968,325584,459952,DOMINICK (R CO)
CT,1968,655043,551455,RICIBOFF (D CT)
FL,1968,892637,1131499,GURNEY (R FL)
GA,1968,885093,256796,TALMADGE (D GA)
HI,1968,189248,34008,INOUYE (D HI)
IA,1968,574884,568469,HUGHES (D IA)
ID,1968,173482,114394,CHURCH (D ID)
IL,1968,2073242,2358947,DIRKSEN (R IL)
IN,1968,1060456,988571,BAYH (D IN)
KS,1968,315911,490911,DOLE (R KS)
KY,1968,448960,484260,COOK (R KY)
MD,1968,443667,541893,MATHIAS (R MD)
MO,1968,880113,845144,EAGLETON (D MO)
ND,1968,80815,154968,YOUNG (R ND)
NH,1968,116816,170163,COTTON (R NH)
NV,1968,83622,69083,BIBLE (D NV)
NY,1968,2150659,3269772,JAVITS (R NY)
OK,1968,419658,470120,BELLMON (R OK)
OR,1968,405380,408825,PACKWOOD (R OR)
PA,1968,2117662,2399762,SCHWEIKER (R PA)
SC,1968,404060,248780,HOLLINGS (D SC)
SD,1968,158961,120951,MCGOVERN (D SD)
UT,1968,192168,225075,BENNETT (R UT)
WA,1968,796183,435894,MAGNUSON (D WA)
AZ,1970,179512,228284,FANNIN (R AZ)
CA,1970,3496558,2877617,TUNNEY (D CA)
CT,1970,368111,454721,WEICKER (R CT)
DE,1970,64740,94979,ROTH (R DE)
FL,1970,902438,772817,CHILES (D FL)
MA,1970,1202856,715978,KENNEDY (D MA)
MD,1970,460422,484960,BEALL (R MD)
ME,1970,199954,123906,MUSKIE (D ME)
MI,1970,1744672,858438,HART (D MI)
MN,1970,788256,568025,HUMPHREY (D MN)
MO,1970,654831,617903,SYMINGTON (D MO)
MT,1970,150060,97809,MANSFIELD (D MT)
ND,1970,134519,82996,BURDICK (D ND)
NE,1970,217681,240894,HRUSKA (R NE)
NV,1970,85187,60838,CANNON (D NV)
NY,1970,2288190,2171232,BUCKLEY (Conservative NY)
PA,1970,1653774,1874106,SCOTT (R PA)
RI,1970,230469,107351,PASTORE (D RI)
UT,1970,210207,159004,MOSS (D UT)
WA,1970,879385,170790,JACKSON (D WA)
WV,1970,345965,99658, (D WV)
