icpsrLegis,name,freshmanYear,sen
9369,THURMOND (R SC),1954,1
1366,BYRD (D WV),1959,2
10808,KENNEDY (D MA),1962,3
4812,INOUYE (D HI),1963,4
11204,HOLLINGS (D SC),1966,5
12109,STEVENS (R AK),1968,6
11044,ROTH (R DE),1971,7
14101,BIDEN (D DE),1973,10
14103,DOMENICI (R NM),1973,9
14105,HELMS (R NC),1973,8
14307,LEAHY (D VT),1975,11
14500,CHAFEE (R RI),1976,12
13039,SARBANES (D MD),1977,13
14503,HATCH (R UT),1977,16
14506,LUGAR (R IN),1977,15
14508,MOYNIHAN (D NY),1977,14
14009,COCHRAN (R MS),1978,18
14203,BAUCUS (D MT),1978,17
14709,LEVIN (D MI),1979,20
14712,WARNER (R VA),1979,19
14213,DODD (D CT),1981,21
14226,GRASSLEY (R IA),1981,22
14904,GORTON (R WA),1981,42
14907,MURKOWSKI (R AK),1981,25
14908,NICKLES (R OK),1981,24
14910,SPECTER (R PA),1981,23
14914,LAUTENBERG (D NJ),1982,26
14912,BINGAMAN (D NM),1983,27
14230,HARKIN (D IA),1985,29
14628,GRAMM (R TX),1985,30
14920,KERRY (D MA),1985,28
14921,MCCONNELL (R KY),1985,31
14922,ROCKEFELLER (D WV),1985,32
13056,BREAUX (D LA),1987,33
14440,MIKULSKI (D MD),1987,34
14617,DASCHLE (D SD),1987,36
15039,MCCAIN (R AZ),1987,37
15054,REID (D NV),1987,38
15501,BOND (R MO),1987,40
15502,CONRAD (D ND),1987,41
15503,GRAHAM (D FL),1987,39
94659,SHELBY (R AL),1987,35
14031,LOTT (R MS),1989,43
14240,JEFFORDS (R VT),1989,44
15037,MACK (R FL),1989,45
15700,BRYAN (D NV),1989,47
15701,BURNS (R MT),1989,51
15702,KERREY (D NE),1989,48
15703,KOHL (D WI),1989,49
15704,LIEBERMAN (D CT),1989,50
15705,ROBB (D VA),1989,46
14400,AKAKA (D HI),1990,52
14809,CRAIG (R ID),1991,54
15116,SMITH (R NH),1990,53
49101,WELLSTONE (D MN),1991,55
14812,DORGAN (D ND),1992,57
49300,FEINSTEIN (D CA),1992,56
14826,GREGG (R NH),1993,59
15011,BOXER (D CA),1993,58
49301,COVERDELL (R GA),1993,61
49306,HUTCHISON (R TX),1993,65
49307,BENNETT (R UT),1993,64
49308,MURRAY (D WA),1993,63
49309,FEINGOLD (D WI),1993,62
95407,CAMPBELL (R CO),1993,60
15424,INHOFE (R OK),1994,66
49503,THOMPSON (R TN),1994,67
14661,SNOWE (R ME),1995,68
15020,DEWINE (R OH),1995,69
15429,KYL (R AZ),1995,70
15633,THOMAS (R WY),1995,71
29141,SANTORUM (R PA),1995,72
29367,GRAMS (R MN),1995,73
49500,ABRAHAM (R MI),1995,75
49501,ASHCROFT (R MO),1995,74
49502,FRIST (R TN),1995,76
14871,WYDEN (D OR),1996,77
29523,BROWNBACK (R KS),1996,78
14852,ROBERTS (R KS),1997,79
15021,DURBIN (D IL),1997,80
15071,TORRICELLI (D NJ),1997,81
15425,JOHNSON (D SD),1997,82
29108,ALLARD (R CO),1997,83
29142,REED (D RI),1997,84
29306,HUTCHINSON (R AR),1997,85
49700,SESSIONS (R AL),1997,88
49701,CLELAND (D GA),1997,86
49702,LANDRIEU (D LA),1997,87
49703,COLLINS (R ME),1997,91
49704,HAGEL (R NE),1997,90
49705,SMITH (R OR),1997,89
49706,ENZI (R WY),1997,92
14858,SCHUMER (D NY),1999,93
15406,BUNNING (R KY),1999,94
29305,LINCOLN (D AR),1999,96
29345,CRAPO (R ID),1999,95
49900,FITZGERALD (R IL),1999,99
49901,BAYH (D IN),1999,98
49902,EDWARDS (D NC),1999,100
49903,VOINOVICH (R OH),1999,97
49905,CHAFEE (R RI) 49905,1999,
49905,CHAFEE (R RI),1999,
49904,MILLER (D GA),2000,
99909,CLINTON (D USA),,
