mc,icpsrLegis,freshman_year,congress
GRASSLEY (R IA),14226,1981,97
RUDMAN (R NH),14909,1981,97
BRADY (R NJ),14911,1982,97
EAST (R NC),14903,1981,97
ANDREWS (R ND),10569,1981,97
NICKLES (R OK),14908,1981,97
SPECTER (R PA),14910,1981,97
ABDNOR (R SD),14000,1981,97
GORTON (R WA) 1st time in senate,114904,1981,97
GORTON (R WA) 2nd time in senate,214904,1989,101
KASTEN (R WI),14242,1981,97
WILSON (R CA),14915,1983,98
HECHT (R NV),14913,1983,98
LAUTENBERG (D NJ) 1st time in senate,114914,1982,97
LAUTENBERG (D NJ) 2nd time in senate,214914,2003,108
BINGAMAN (D NM),14912,1983,98
TRIBLE (R VA),14456,1983,98
EVANS (R WA),14916,1983,98
SIMON (D IL),14275,1985,99
HARKIN (D IA),14230,1985,99
MCCONNELL (R KY),14921,1985,99
KERRY (D MA),14920,1985,99
BROYHILL (R NC),10574,1986,99
GORE (D TN),14423,1985,99
GRAMM (R TX),14628,1985,99
ROCKEFELLER (D WV),14922,1985,99
SHELBY (D AL),14659,1987,100
MCCAIN (R AZ),15039,1987,100
WIRTH (D CO),14282,1987,100
GRAHAM (D FL),15503,1987,100
FOWLER (D GA),14467,1987,100
BREAUX (D LA),13056,1987,100
MIKULSKI (D MD),14440,1987,100
BOND (R MO),15501,1987,100
KARNES (R NE),15505,1987,100
REID (D NV),15054,1987,100
SANFORD (D NC),15504,1986,99
CONRAD (D ND) 1st time in senate,115502,1987,100
CONRAD (D ND) 2nd time in senate,215502,1987,100
DASCHLE (D SD),14617,1987,100
ADAMS (D WA),10700,1987,100
LIEBERMAN (D CT),15704,1989,101
MACK (R FL),15037,1989,101
AKAKA (D HI),14400,1990,101
COATS (R IN) 1st time in senate,114806,1989,101
COATS (R IN) 2nd time in senate,214806,2011,112
LOTT (R MS),14031,1989,101
BURNS (R MT),15701,1989,101
KERREY (D NE),15702,1989,101
BRYAN (D NV),15700,1989,101
D'AMATO (R NY),14900,1981,97
JEFFORDS (R VT),14240,1989,101
ROBB (D VA),15705,1989,101
KOHL (D WI),15703,1989,101
SEYMOUR (R CA),49100,1991,102
BROWN (R CO),14803,1991,102
CRAIG (R ID),14809,1991,102
WELLSTONE (D MN),49101,1991,102
SMITH (R NH),15116,1991,102
BURDICK2 (D ND),49103,1992,102
WOFFORD (D PA),49104,1991,102
BOXER (D CA),15011,1993,103
FEINSTEIN (D CA),49300,1992,102
CAMPBELL (D CO),15407,1993,103
COVERDELL (R GA),49301,1993,103
KEMPTHORNE (R ID),49302,1993,103
MOSELEY-BRA (D IL),49303,1993,103
GREGG (R NH),14826,1993,103
FAIRCLOTH (R NC),49304,1993,103
DORGAN (D ND),14812,1992,102
INHOFE (R OK),15424,1994,103
MATHEWS (D TN),49305,1993,103
HUTCHISON (R TX),49306,1993,103
KRUEGER (D TX),14247,1993,103
BENNETT (R UT),49307,1993,103
MURRAY (D WA),49308,1993,103
FEINGOLD (D WI),49309,1993,103
SHELBY (R AL),94659,1987,100
KYL (R AZ),15429,1995,104
CAMPBELL (R CO),95407,1993,103
FRAHM (R KS),49504,1996,104
SNOWE (R ME),14661,1995,104
ABRAHAM (R MI),49500,1995,104
GRAMS (R MN),29367,1995,104
ASHCROFT (R MO),49501,1995,104
DEWINE (R OH),15020,1995,104
WYDEN (D OR),14871,1996,104
SANTORUM (R PA),29141,1995,104
FRIST (R TN),49502,1995,104
THOMPSON (R TN),49503,1994,104
THOMAS (R WY),15633,1995,104
SESSIONS (R AL),49700,1997,105
HUTCHINSON (R AR),29306,1997,105
ALLARD (R CO),29108,1997,105
CLELAND (D GA),49701,1997,105
DURBIN (D IL),15021,1997,105
BROWNBACK (R KS),29523,1996,104
ROBERTS (R KS),14852,1997,105
LANDRIEU (D LA),49702,1997,105
COLLINS (R ME),49703,1997,105
HAGEL (R NE),49704,1997,105
TORRICELLI (D NJ),15071,1997,105
SMITH (R OR),49705,1997,105
REED (D RI),29142,1997,105
JOHNSON (D SD),15425,1997,105
ENZI (R WY),49706,1997,105
LINCOLN (D AR),29305,1999,106
MILLER (D GA),49904,2000,106
CRAPO (R ID),29345,1999,106
FITZGERALD (R IL),49900,1999,106
BAYH (D IN),49901,1999,106
BUNNING (R KY),15406,1999,106
SCHUMER (D NY),14858,1999,106
EDWARDS (D NC),49902,1999,106
VOINOVICH (R OH),49903,1999,106
CARPER (D DE),15015,2001,107
NELSON (D FL),14651,2001,107
STABENOW (D MI),29732,2001,107
DAYTON (D MN),40101,2001,107
BARKLEY (Indep MN),40106,2002,107
CARNAHAN (D MO),40102,2001,107
NELSON (D NE),40103,2001,107
ENSIGN (R NV),29537,2001,107
CORZINE (D NJ),40104,2001,107
CLINTON (D NY),40105,2001,107
CHAFEE (R RI),49905,1999,106
JEFFORDS (Indep VT),94240,1989,101
ALLEN (R VA),29148,2001,107
CANTWELL (D WA),39310,2001,107
MURKOWSKI (R AK),40300,2002,107
PRYOR (D AR),40301,2003,108
CHAMBLISS (R GA),29512,2003,108
COLEMAN (R MN),40302,2003,108
TALENT (R MO),29369,2002,107
SUNUNU (R NH),29740,2003,108
DOLE (R NC),40303,2003,108
GRAHAM (R SC),29566,2003,108
ALEXANDER (R TN),40304,2003,108
CORNYN (R TX),40305,2002,107
SALAZAR (D CO),40500,2005,109
MARTINEZ (R FL),40501,2005,109
ISAKSON (R GA),29909,2005,109
OBAMA (D IL),40502,2005,109
VITTER (R LA),29918,2005,109
MENENDEZ (D NJ),29373,2006,109
BURR (R NC),29548,2005,109
COBURN (R OK),29555,2005,109
DEMINT (R SC),29936,2005,109
THUNE (R SD),29754,2005,109
CARDIN (D MD),15408,2007,110
KLOBUCHAR (D MN),40700,2007,110
WICKER (R MS),29534,2007,110
MCCASKILL (D MO),40701,2007,110
TESTER (D MT),40702,2007,110
BROWN (D OH),29389,2007,110
CASEY (D PA),40703,2007,110
WHITEHOUSE (D RI),40704,2007,110
CORKER (R TN),40705,2007,110
SANDERS (Indep VT),29147,2007,110
WEBB (D VA),40706,2007,110
BARASSO (R WY),40707,2007,110
BEGICH (D AK),40900,2009,111
UDALL (D CO),29906,2009,111
BENNET (D CO),40910,2009,111
KAUFMAN (D DE),40901,2009,111
COONS (D DE),40916,2010,111
LEMIEUX (R FL),40911,2009,111
RISCH (R ID),40902,2009,111
BURRIS (D IL),40903,2009,111
KIRK (R IL),20115,2010,111
KIRK (D MA),40912,2009,111
BROWN (R MA),40913,2010,111
FRANKEN (D MN),40904,2009,111
JOHANNS (R NE),40905,2009,111
SHAHEEN (D NH),40906,2009,111
UDALL (D NM),29924,2009,111
GILLIBRAND (D NY),20735,2009,111
HAGAN (D NC),40907,2009,111
MERKLEY (D OR),40908,2009,111
SPECTER (D PA),94910,1981,97
WARNER (D VA),40909,2009,111
GOODWIN (D WV),40914,2010,111
MANCHIN (D WV),40915,2010,111
BOOZMAN (R AR),20101,2011,112
BLUMENTHAL (D CT),41101,2011,112
RUBIO (R FL),41102,2011,112
SCHATZ (D HI),41112,2012,112
MORAN (R KS),29722,2011,112
PAUL (R KY),41104,2011,112
BLUNT (R MO),29735,2011,112
HELLER (R NV),20730,2011,112
AYOTTE (R NH),41106,2011,112
HOEVEN (R ND),41107,2011,112
PORTMAN (R OH),29386,2011,112
TOOMEY (R PA),29935,2011,112
LEE (R UT),41110,2011,112
JOHNSON (R WI),41111,2011,112
