icpsrLegis,name,freshmanYear,sen
8883,STENNIS (D MS),1947,1
3658,GOLDWATER (R AZ),1953,22
4851,JACKSON (D WA),1953,3
9369,THURMOND (R SC),1954,4
7638,PROXMIRE (D WI),1957,5
7722,RANDOLPH (D WV),1958,6
1366,BYRD (D WV),1959,7
1482,CANNON (D NV),1959,9
10147,WILLIAMS (D NJ),1959,8
1252,BURDICK (D ND),1961,10
10818,PELL (D RI),1961,11
10823,TOWER (R TX),1961,12
10808,KENNEDY (D MA),1962,13
4812,INOUYE (D HI),1963,14
10802,BYRD (Indep VA),1965,15
5767,LONG (D LA),1948,2
11204,HOLLINGS (D SC),1966,16
11200,BAKER (R TN),1967,18
11203,HATFIELD (R OR),1967,19
11205,PERCY (R IL),1967,17
12109,STEVENS (R AK),1968,20
10513,DOLE (R KS),1969,24
10535,MATHIAS (R MD),1969,23
12103,CRANSTON (D CA),1969,25
12104,EAGLETON (D MO),1969,21
12107,PACKWOOD (R OR),1969,26
660,BENTSEN (D TX),1971,28
10562,STAFFORD (R VT),1971,31
11044,ROTH (R DE),1971,27
12032,WEICKER (R CT),1971,29
13101,CHILES (D FL),1971,30
14107,JOHNSTON (D LA),1972,33
11029,MCCLURE (R ID),1973,34
14101,BIDEN (D DE),1973,38
14103,DOMENICI (R NM),1973,37
14105,HELMS (R NC),1973,35
14106,HUDDLESTON (D KY),1973,36
14108,NUNN (D GA),1973,32
14073,METZENBAUM (D OH),1974,48
14302,FORD (D KY),1974,42
14303,GARN (R UT),1974,40
14304,GLENN (D OH),1974,41
14077,LAXALT (R NV),1975,39
14300,BUMPERS (D AR),1975,43
14305,HART (D CO),1975,44
14307,LEAHY (D VT),1975,45
14500,CHAFEE (R RI),1976,49
14512,ZORINSKY (D NE),1976,47
10605,MATSUNAGA (D HI),1977,52
11043,RIEGLE (D MI),1977,50
12039,MELCHER (D MT),1977,53
13039,SARBANES (D MD),1977,55
13050,HEINZ (R PA),1977,54
14501,DANFORTH (R MO),1977,46
14502,DECONCINI (D AZ),1977,59
14503,HATCH (R UT),1977,60
14504,HAYAKAWA (R CA),1977,51
14506,LUGAR (R IN),1977,57
14508,MOYNIHAN (D NY),1977,56
14509,SASSER (D TN),1977,58
14510,SCHMITT (R NM),1977,61
14511,WALLOP (R WY),1977,62
14009,COCHRAN (R MS),1978,66
14203,BAUCUS (D MT),1978,64
14703,DURENBERGER (R MN),1978,63
10791,PRYOR (D AR),1979,70
14002,ARMSTRONG (R CO),1979,73
14010,COHEN (R ME),1979,71
14268,PRESSLER (R SD),1979,74
14279,TSONGAS (D MA),1979,72
14700,BOREN (D OK),1979,75
14701,BOSCHWITZ (R MN),1978,67
14702,BRADLEY (D NJ),1979,78
14704,EXON (D NE),1979,76
14705,HEFLIN (D AL),1979,79
14706,HUMPHREY (R NH),1979,81
14707,JEPSEN (R IA),1979,80
14708,KASSEBAUM (R KS),1978,65
14709,LEVIN (D MI),1979,77
14710,SIMPSON (R WY),1979,68
14712,WARNER (R VA),1979,69
14713,MITCHELL (D ME),1980,82
10569,ANDREWS (R ND),1981,86
14000,ABDNOR (R SD),1981,88
14056,SYMMS (R ID),1981,87
14213,DODD (D CT),1981,89
14226,GRASSLEY (R IA),1981,90
14242,KASTEN (R WI),1981,92
14447,QUAYLE (R IN),1981,91
14900,D'AMATO (R NY),1981,93
14901,DENTON (R AL),1981,85
14902,DIXON (D IL),1981,95
14903,EAST (R NC),1981,96
14904,GORTON (R WA),1981,98
14905,HAWKINS (R FL),1981,84
14906,MATTINGLY (R GA),1981,97
14907,MURKOWSKI (R AK),1981,100
14908,NICKLES (R OK),1981,99
14909,RUDMAN (R NH),1980,83
14910,SPECTER (R PA),1981,94
14911,BRADY (R NJ),1982,
99907,REAGAN (R USA),,
