icpsrLegis,name,freshmanYear,sen
1366,BYRD (D WV),1959,1
10808,KENNEDY (D MA),1962,2
4812,INOUYE (D HI),1963,3
12109,STEVENS (R AK),1968,4
14101,BIDEN (D DE),1973,6
14103,DOMENICI (R NM),1973,5
14307,LEAHY (D VT),1975,7
14503,HATCH (R UT),1977,9
14506,LUGAR (R IN),1977,8
14009,COCHRAN (R MS),1978,11
14203,BAUCUS (D MT),1978,10
14709,LEVIN (D MI),1979,13
14712,WARNER (R VA),1979,12
14213,DODD (D CT),1981,14
14226,GRASSLEY (R IA),1981,15
14910,SPECTER (R PA),1981,16
14914,LAUTENBERG (D NJ),1982,73
14912,BINGAMAN (D NM),1983,17
14230,HARKIN (D IA),1985,19
14920,KERRY (D MA),1985,18
14921,MCCONNELL (R KY),1985,20
14922,ROCKEFELLER (D WV),1985,21
14440,MIKULSKI (D MD),1987,22
15039,MCCAIN (R AZ),1987,24
15054,REID (D NV),1987,25
15501,BOND (R MO),1987,26
15502,CONRAD (D ND),1987,27
94659,SHELBY (R AL),1987,23
14031,LOTT (R MS),1989,28
15703,KOHL (D WI),1989,29
15704,LIEBERMAN (D CT),1989,30
14400,AKAKA (D HI),1990,31
14809,CRAIG (R ID),1991,32
14812,DORGAN (D ND),1992,34
49300,FEINSTEIN (D CA),1992,33
14826,GREGG (R NH),1993,36
15011,BOXER (D CA),1993,35
49306,HUTCHISON (R TX),1993,40
49307,BENNETT (R UT),1993,39
49308,MURRAY (D WA),1993,38
49309,FEINGOLD (D WI),1993,37
15424,INHOFE (R OK),1994,41
14661,SNOWE (R ME),1995,42
15429,KYL (R AZ),1995,43
15633,THOMAS (R WY),1995,44
14871,WYDEN (D OR),1996,45
29523,BROWNBACK (R KS),1996,46
14852,ROBERTS (R KS),1997,47
15021,DURBIN (D IL),1997,48
15425,JOHNSON (D SD),1997,49
29108,ALLARD (R CO),1997,50
29142,REED (D RI),1997,51
49700,SESSIONS (R AL),1997,53
49702,LANDRIEU (D LA),1997,52
49703,COLLINS (R ME),1997,56
49704,HAGEL (R NE),1997,55
49705,SMITH (R OR),1997,54
49706,ENZI (R WY),1997,57
14858,SCHUMER (D NY),1999,58
15406,BUNNING (R KY),1999,59
29305,LINCOLN (D AR),1999,61
29345,CRAPO (R ID),1999,60
49901,BAYH (D IN),1999,63
49903,VOINOVICH (R OH),1999,62
14651,NELSON (D FL),2001,64
15015,CARPER (D DE),2001,65
29537,ENSIGN (R NV),2001,67
29732,STABENOW (D MI),2001,66
39310,CANTWELL (D WA),2001,68
40103,NELSON (D NE),2001,69
40105,CLINTON (D NY),2001,70
40300,MURKOWSKI (R AK),2002,72
40305,CORNYN (R TX),2002,71
29512,CHAMBLISS (R GA),2003,74
29566,GRAHAM (R SC),2003,75
29740,SUNUNU (R NH),2003,76
40301,PRYOR (D AR),2003,80
40302,COLEMAN (R MN),2003,79
40303,DOLE (R NC),2003,78
40304,ALEXANDER (R TN),2003,77
29548,BURR (R NC),2005,81
29555,COBURN (R OK),2005,83
29754,THUNE (R SD),2005,84
29909,ISAKSON (R GA),2005,85
29918,VITTER (R LA),2005,86
29936,DEMINT (R SC),2005,82
40500,SALAZAR (D CO),2005,89
40501,MARTINEZ (R FL),2005,87
40502,OBAMA (D IL),2005,88
29373,MENENDEZ (D NJ),2006,90
15408,CARDIN (D MD),2007,91
29147,SANDERS (Indep VT),2007,92
29389,BROWN (D OH),2007,93
29534,WICKER (R MS),2007,
40700,KLOBUCHAR (D MN),2007,98
40701,MCCASKILL (D MO),2007,97
40702,TESTER (D MT),2007,100
40703,CASEY (D PA),2007,94
40704,WHITEHOUSE (D RI),2007,99
40705,CORKER (R TN),2007,96
40706,WEBB (D VA),2007,95
40707,BARASSO (R WY),2007,
99910,BUSH (R USA),,
