stabb,election_year,pres_dem_votes,pres_rep_votes
KS,1996,387659,583245
KY,1996,636614,623283
LA,1996,927837,712586
ME,1996,312788,186378
MD,1996,966207,681530
MA,1996,1571763,718107
MI,1996,1989653,1481212
MN,1996,1120438,766476
MS,1996,394022,439838
MO,1996,1025935,890016
MT,1996,167922,179652
NE,1996,236761,363467
NV,1996,203974,199244
NH,1996,246214,196532
NJ,1996,1652329,1103078
NM,1996,273495,232751
NY,1996,3756177,1933492
NC,1996,1107849,1225938
ND,1996,106905,125050
OH,1996,2148222,1859883
OK,1996,488105,582315
OR,1996,649641,538152
PA,1996,2215819,1801169
RI,1996,233050,104683
SC,1996,506283,573458
SD,1996,139333,150543
TN,1996,909146,863530
TX,1996,2459683,2736167
UT,1996,221633,361911
VT,1996,137894,80352
VA,1996,1091060,1138350
WA,1996,1123323,840712
WV,1996,327812,233946
WI,1996,1071971,845029
WY,1996,77934,105388
AL,1992,690080,804283
AK,1992,78294,102000
AZ,1992,543050,572086
AR,1992,505823,337324
CA,1992,5121325,3630574
CO,1992,629681,562850
CT,1992,682318,578313
DE,1992,126054,102313
FL,1992,2173310,1053067
GA,1992,1008966,995252
HI,1992,179310,136822
ID,1992,137013,202645
IL,1992,2453350,1734096
IN,1992,848420,989375
IA,1992,586353,504891
KS,1992,390434,449951
KY,1992,665104,617178
LA,1992,815971,733386
ME,1992,263420,206504
MD,1992,988571,707094
MA,1992,1318662,805049
MI,1992,1871182,1554940
MN,1992,1020997,747841
MS,1992,400258,487793
MO,1992,1053873,811159
MT,1992,154507,144207
NE,1992,217344,344346
NV,1992,189148,175828
NH,1992,209040,202484
NJ,1992,1436206,1356865
NM,1992,261617,212824
NY,1992,3444450,2346649
NC,1992,1114042,1134661
ND,1992,99168,136244
OH,1992,1984942,1894310
OK,1992,473066,592929
OR,1992,621314,475757
PA,1992,2239164,1791841
RI,1992,213299,131601
SC,1992,479514,577507
SD,1992,124888,136718
TN,1992,933521,841300
TX,1992,2281815,2496071
UT,1992,183429,322632
VT,1992,133592,88122
VA,1992,1038650,1150517
WA,1992,993037,731234
WV,1992,331001,241974
WI,1992,1041066,930855
WY,1992,68160,79347
AL,1988,549506,815576
AK,1988,72584,119251
AZ,1988,454029,702541
AR,1988,349237,466578
CA,1988,4702233,5054917
CO,1988,621453,728177
CT,1988,676584,750241
DE,1988,108647,139639
FL,1988,1656701,2618885
GA,1988,714792,1081331
HI,1988,192364,158625
ID,1988,147272,253881
IL,1988,2215940,2310939
IN,1988,860643,1297763
IA,1988,545355,670557
KS,1988,422636,554049
KY,1988,580368,734281
LA,1988,734281,883702
ME,1988,243569,307131
MD,1988,826304,876167
MA,1988,1401406,1194644
MI,1988,1675783,1965486
MN,1988,1109471,962337
MS,1988,363921,557890
MO,1988,1001619,1084953
MT,1988,168936,190412
NE,1988,259646,398447
NV,1988,132738,206040
NH,1988,163696,281537
NJ,1988,1320352,1743192
NM,1988,244497,270341
NY,1988,3347882,3081871
NC,1988,890167,1237258
ND,1988,127739,166559
OH,1988,1939629,2416549
OK,1988,483423,678367
OR,1988,616206,560126
PA,1988,2194944,2300087
RI,1988,225123,177761
SC,1988,370554,606443
SD,1988,145560,165415
TN,1988,679794,947233
TX,1988,2352748,3036829
UT,1988,207343,428442
VT,1988,115775,124331
VA,1988,859799,1309162
WA,1988,933516,903835
WV,1988,341016,310065
WI,1988,1126794,1047499
WY,1988,67113,106867
AL,1984,551899,872849
AK,1984,62007,138377
AZ,1984,333854,681416
AR,1984,338646,534774
CA,1984,3922519,5467009
CO,1984,454974,821818
CT,1984,569597,890877
DE,1984,101656,152190
FL,1984,1448816,2730350
GA,1984,706628,1068722
HI,1984,147154,185050
ID,1984,108510,297523
IL,1984,2086499,2707103
IN,1984,841481,1377230
IA,1984,605620,703088
KS,1984,333149,677296
KY,1984,539589,822782
LA,1984,651586,1037299
ME,1984,214515,336500
MD,1984,787935,879918
MA,1984,1239606,1310936
MI,1984,1529638,2251571
MN,1984,1036364,1032603
MS,1984,352192,581477
MO,1984,848583,1274188
MT,1984,146742,232450
NE,1984,187866,460054
NV,1984,91655,188770
NH,1984,120395,267051
NJ,1984,1261323,1933630
NM,1984,201769,307101
NY,1984,3119609,3664763
NC,1984,824287,1346481
ND,1984,104429,200336
OH,1984,1825440,2678560
OK,1984,385080,861530
OR,1984,536479,685700
PA,1984,2228131,2584323
RI,1984,197106,212080
SC,1984,344470,615539
SD,1984,116113,200267
TN,1984,711714,990212
TX,1984,1949276,3433428
UT,1984,155369,469105
VT,1984,95730,135865
VA,1984,796250,1337078
WA,1984,807352,1051670
WV,1984,328125,405483
WI,1984,995847,1198800
WY,1984,53370,133241
AL,1980,636730,654192
AK,1980,41842,86112
AZ,1980,246843,529688
AR,1980,398041,403164
CA,1980,3083661,4524858
CO,1980,367973,652264
CT,1980,541732,677210
DE,1980,105754,111252
FL,1980,1419475,2046951
GA,1980,890733,654168
HI,1980,135879,130112
ID,1980,110192,290699
IL,1980,1981413,2358049
IN,1980,844197,1255656
IA,1980,508672,676026
KS,1980,326150,566812
KY,1980,616417,635274
LA,1980,708453,792853
ME,1980,220974,238522
MD,1980,726161,680606
MA,1980,1053802,1057631
MI,1980,1661532,1915225
MN,1980,954174,873241
MS,1980,429281,441089
MO,1980,931182,1074181
MT,1980,118032,206814
NE,1980,166851,419937
NV,1980,66666,155017
NH,1980,108864,221705
NJ,1980,1147364,1546557
NM,1980,167826,250779
NY,1980,2728372,2893831
NC,1980,875635,915018
ND,1980,79189,193695
OH,1980,1752414,2206545
OK,1980,402026,695570
OR,1980,456890,571044
PA,1980,1937540,2261872
RI,1980,198342,154793
SC,1980,427560,441207
SD,1980,103855,198343
TN,1980,783051,787761
TX,1980,1881147,2510705
UT,1980,124266,439687
VT,1980,81891,94598
VA,1980,752174,989609
WA,1980,650193,865244
WV,1980,367462,334206
WI,1980,981584,1088845
WY,1980,49427,110700
AL,1976,659170,504070
AK,1976,44058,71555
AZ,1976,295602,418642
AR,1976,499614,268753
CA,1976,3742284,3882244
CO,1976,460353,584367
CT,1976,647895,719261
DE,1976,122596,109831
FL,1976,1636000,1469531
GA,1976,979409,483743
HI,1976,147375,140003
ID,1976,126549,204151
IL,1976,2271295,2364269
IN,1976,1014714,1183958
IA,1976,619931,632863
KS,1976,430421,502752
KY,1976,615717,531852
LA,1976,661365,587446
ME,1976,232279,236320
MD,1976,759612,672661
MA,1976,1429475,1030276
MI,1976,1696714,1893742
MN,1976,1070440,819395
MS,1976,381309,366846
MO,1976,998387,927443
MT,1976,149259,173703
NE,1976,233692,359705
NV,1976,92479,101273
NH,1976,147635,185935
NJ,1976,1444653,1509688
NM,1976,201148,211419
NY,1976,3389558,3100791
NC,1976,927365,741960
ND,1976,136078,153470
OH,1976,2011621,2000505
OK,1976,532442,545708
