icpsrLegis,name,freshmanYear,sen
5913,MAGNUSON (D WA),1944,1
10450,YOUNG (R ND),1945,2
8883,STENNIS (D MS),1947,3
3658,GOLDWATER (R AZ),1953,32
4851,JACKSON (D WA),1953,5
9369,THURMOND (R SC),1954,6
1721,CHURCH (D ID),1957,8
4898,JAVITS (R NY),1957,9
7638,PROXMIRE (D WI),1957,10
9174,TALMADGE (D GA),1957,7
7722,RANDOLPH (D WV),1958,11
1366,BYRD (D WV),1959,12
1482,CANNON (D NV),1959,15
6831,MUSKIE (D ME),1959,14
10147,WILLIAMS (D NJ),1959,13
1252,BURDICK (D ND),1960,16
10818,PELL (D RI),1961,17
10823,TOWER (R TX),1961,18
10808,KENNEDY (D MA),1962,19
4812,INOUYE (D HI),1963,22
6256,MCGOVERN (D SD),1963,21
7847,RIBICOFF (D CT),1963,20
10800,BAYH (D IN),1963,23
10816,NELSON (D WI),1963,24
10802,BYRD (Indep VA),1965,25
5767,LONG (D LA),1948,4
11204,HOLLINGS (D SC),1966,26
11200,BAKER (R TN),1967,28
11203,HATFIELD (R OR),1967,29
11205,PERCY (R IL),1967,27
12109,STEVENS (R AK),1968,30
10513,DOLE (R KS),1969,35
10535,MATHIAS (R MD),1969,34
10557,SCHWEIKER (R PA),1969,33
12101,BELLMON (R OK),1969,36
12103,CRANSTON (D CA),1969,37
12104,EAGLETON (D MO),1969,31
12105,GRAVEL (D AK),1969,39
12107,PACKWOOD (R OR),1969,38
13102,STEVENSON (D IL),1970,40
660,BENTSEN (D TX),1971,42
10562,STAFFORD (R VT),1971,45
11044,ROTH (R DE),1971,41
12032,WEICKER (R CT),1971,43
13101,CHILES (D FL),1971,44
14107,JOHNSTON (D LA),1972,47
11029,MCCLURE (R ID),1973,48
14101,BIDEN (D DE),1973,52
14103,DOMENICI (R NM),1973,51
14105,HELMS (R NC),1973,49
14106,HUDDLESTON (D KY),1973,50
14108,NUNN (D GA),1973,46
14073,METZENBAUM (D OH),1974,66
14302,FORD (D KY),1974,56
14303,GARN (R UT),1974,54
14304,GLENN (D OH),1974,55
10715,CULVER (D IA),1975,58
14077,LAXALT (R NV),1974,53
14300,BUMPERS (D AR),1975,59
14305,HART (D CO),1975,61
14307,LEAHY (D VT),1975,62
14308,MORGAN (D NC),1975,60
14309,STONE (D FL),1975,57
14310,DURKIN (D NH),1975,63
14500,CHAFEE (R RI),1976,67
14512,ZORINSKY (D NE),1976,65
10605,MATSUNAGA (D HI),1977,70
11043,RIEGLE (D MI),1977,68
12039,MELCHER (D MT),1977,71
13039,SARBANES (D MD),1977,73
13050,HEINZ (R PA),1977,72
14501,DANFORTH (R MO),1976,64
14502,DECONCINI (D AZ),1977,77
14503,HATCH (R UT),1977,78
14504,HAYAKAWA (R CA),1977,69
14506,LUGAR (R IN),1977,75
14508,MOYNIHAN (D NY),1977,74
14509,SASSER (D TN),1977,76
14510,SCHMITT (R NM),1977,79
14511,WALLOP (R WY),1977,80
14009,COCHRAN (R MS),1978,85
14203,BAUCUS (D MT),1978,83
14703,DURENBERGER (R MN),1978,81
14711,STEWART (D AL),1978,82
10791,PRYOR (D AR),1979,89
14002,ARMSTRONG (R CO),1979,92
14010,COHEN (R ME),1979,90
14268,PRESSLER (R SD),1979,93
14279,TSONGAS (D MA),1979,91
14700,BOREN (D OK),1979,94
14701,BOSCHWITZ (R MN),1978,86
14702,BRADLEY (D NJ),1979,97
14704,EXON (D NE),1979,95
14705,HEFLIN (D AL),1979,98
14706,HUMPHREY (R NH),1979,100
14707,JEPSEN (R IA),1979,99
14708,KASSEBAUM (R KS),1978,84
14709,LEVIN (D MI),1979,96
14710,SIMPSON (R WY),1979,87
14712,WARNER (R VA),1979,88
14713,MITCHELL (D ME),1980,
99906,CARTER (D USA),,
