icpsrLegis,name,freshmanYear,sen
9369,THURMOND (R SC),1954,1
1366,BYRD (D WV),1959,2
10808,KENNEDY (D MA),1962,3
4812,INOUYE (D HI),1963,4
11204,HOLLINGS (D SC),1966,5
12109,STEVENS (R AK),1968,6
14101,BIDEN (D DE),1973,9
14103,DOMENICI (R NM),1973,8
14105,HELMS (R NC),1973,7
14307,LEAHY (D VT),1975,10
13039,SARBANES (D MD),1977,11
14503,HATCH (R UT),1977,13
14506,LUGAR (R IN),1977,12
14009,COCHRAN (R MS),1978,15
14203,BAUCUS (D MT),1978,14
14709,LEVIN (D MI),1979,17
14712,WARNER (R VA),1979,16
14213,DODD (D CT),1981,18
14226,GRASSLEY (R IA),1981,19
14907,MURKOWSKI (R AK),1981,22
14908,NICKLES (R OK),1981,21
14910,SPECTER (R PA),1981,20
14912,BINGAMAN (D NM),1983,23
14230,HARKIN (D IA),1985,25
14628,GRAMM (R TX),1985,26
14920,KERRY (D MA),1985,24
14921,MCCONNELL (R KY),1985,27
14922,ROCKEFELLER (D WV),1985,28
13056,BREAUX (D LA),1987,29
14440,MIKULSKI (D MD),1987,30
14617,DASCHLE (D SD),1987,32
15039,MCCAIN (R AZ),1987,33
15054,REID (D NV),1987,34
15501,BOND (R MO),1987,36
15502,CONRAD (D ND),1987,37
15503,GRAHAM (D FL),1987,35
94659,SHELBY (R AL),1987,31
14031,LOTT (R MS),1989,38
14240,JEFFORDS (R VT),1989,39
15701,BURNS (R MT),1989,42
15703,KOHL (D WI),1989,40
15704,LIEBERMAN (D CT),1989,41
94240,JEFFORDS (Indep VT),1989,39
14400,AKAKA (D HI),1990,43
14809,CRAIG (R ID),1991,45
15116,SMITH (R NH),1990,44
49101,WELLSTONE (D MN),1991,46
14812,DORGAN (D ND),1992,48
49300,FEINSTEIN (D CA),1992,47
14826,GREGG (R NH),1993,50
15011,BOXER (D CA),1993,49
49306,HUTCHISON (R TX),1993,55
49307,BENNETT (R UT),1993,54
49308,MURRAY (D WA),1993,53
49309,FEINGOLD (D WI),1993,52
95407,CAMPBELL (R CO),1993,51
15424,INHOFE (R OK),1994,56
49503,THOMPSON (R TN),1994,57
14661,SNOWE (R ME),1995,58
15020,DEWINE (R OH),1995,59
15429,KYL (R AZ),1995,60
15633,THOMAS (R WY),1995,61
29141,SANTORUM (R PA),1995,62
49502,FRIST (R TN),1995,63
14871,WYDEN (D OR),1996,64
29523,BROWNBACK (R KS),1996,65
14852,ROBERTS (R KS),1997,66
15021,DURBIN (D IL),1997,67
15071,TORRICELLI (D NJ),1997,68
15425,JOHNSON (D SD),1997,69
29108,ALLARD (R CO),1997,70
29142,REED (D RI),1997,71
29306,HUTCHINSON (R AR),1997,72
49700,SESSIONS (R AL),1997,75
49701,CLELAND (D GA),1997,73
49702,LANDRIEU (D LA),1997,74
49703,COLLINS (R ME),1997,78
49704,HAGEL (R NE),1997,77
49705,SMITH (R OR),1997,76
49706,ENZI (R WY),1997,79
14858,SCHUMER (D NY),1999,80
15406,BUNNING (R KY),1999,81
29305,LINCOLN (D AR),1999,83
29345,CRAPO (R ID),1999,82
49900,FITZGERALD (R IL),1999,86
49901,BAYH (D IN),1999,85
49902,EDWARDS (D NC),1999,87
49903,VOINOVICH (R OH),1999,84
49905,CHAFEE (R RI),1999,88
49904,MILLER (D GA),2000,89
14651,NELSON (D FL),2001,90
15015,CARPER (D DE),2001,91
29148,ALLEN (R VA),2001,94
29537,ENSIGN (R NV),2001,93
29732,STABENOW (D MI),2001,92
39310,CANTWELL (D WA),2001,95
40101,DAYTON (D MN),2001,100
40102,CARNAHAN (D MO),2001,99
40103,NELSON (D NE),2001,96
40104,CORZINE (D NJ),2001,98
40105,CLINTON (D NY),2001,97
40106,BARKLEY (Indep MN),2002,
99910,BUSH (R USA),,
