icpsrLegis,name,freshmanYear,sen
2822,EASTLAND (D MS),1941,1
6151,MCCLELLAN (D AR),1943,2
5913,MAGNUSON (D WA),1944,3
10450,YOUNG (R ND),1945,4
8764,SPARKMAN (D AL),1946,5
8883,STENNIS (D MS),1947,6
4728,HUMPHREY (D MN),1949,68
7229,PASTORE (D RI),1950,8
3658,GOLDWATER (R AZ),1953,56
4851,JACKSON (D WA),1953,9
5967,MANSFIELD (D MT),1953,10
9141,SYMINGTON (D MO),1953,11
2087,COTTON (R NH),1954,
4660,HRUSKA (R NE),1954,12
9369,THURMOND (R SC),1954,15
1569,CASE (R NJ),1955,14
2267,CURTIS (R NE),1955,13
1721,CHURCH (D ID),1957,17
4898,JAVITS (R NY),1957,18
7638,PROXMIRE (D WI),1957,19
9174,TALMADGE (D GA),1957,16
7722,RANDOLPH (D WV),1958,20
1366,BYRD (D WV),1959,22
1482,CANNON (D NV),1959,29
3255,FONG (R HI),1959,30
4148,HART (D MI),1959,25
4154,HARTKE (D IN),1959,26
6249,MCGEE (D WY),1959,28
6754,MOSS (D UT),1959,27
6831,MUSKIE (D ME),1959,24
8301,SCOTT (R PA),1959,21
10147,WILLIAMS (D NJ),1959,23
14100,BARTLETT (R OK),1973,83
1252,BURDICK (D ND),1960,31
6442,METCALF (D MT),1961,32
10818,PELL (D RI),1961,33
10823,TOWER (R TX),1961,34
10808,KENNEDY (D MA),1962,36
10810,MCINTYRE (D NH),1962,37
10817,PEARSON (R KS),1962,35
4812,INOUYE (D HI),1963,40
6256,MCGOVERN (D SD),1963,39
7847,RIBICOFF (D CT),1963,38
10800,BAYH (D IN),1963,41
10816,NELSON (D WI),1963,42
6611,MONTOYA (D NM),1964,43
10813,MONDALE (D MN),1964,44
10802,BYRD (Indep VA),1965,46
10804,FANNIN (R AZ),1965,45
3824,GRIFFIN (R MI),1966,47
5767,LONG (D LA),1948,7
11204,HOLLINGS (D SC),1966,48
11200,BAKER (R TN),1967,52
11201,BROOKE (R MA),1967,51
11202,HANSEN (R WY),1967,49
11203,HATFIELD (R OR),1967,53
11205,PERCY (R IL),1967,50
12109,STEVENS (R AK),1968,54
10513,DOLE (R KS),1969,59
10535,MATHIAS (R MD),1969,58
10557,SCHWEIKER (R PA),1969,57
12100,ALLEN (D AL),1969,62
12101,BELLMON (R OK),1969,60
12103,CRANSTON (D CA),1969,61
12104,EAGLETON (D MO),1969,55
12105,GRAVEL (D AK),1969,64
12107,PACKWOOD (R OR),1969,63
13102,STEVENSON (D IL),1970,65
660,BENTSEN (D TX),1971,71
10562,STAFFORD (R VT),1971,76
10571,BROCK (R TN),1971,70
10630,TAFT (R OH),1971,69
10777,TUNNEY (D CA),1971,67
11044,ROTH (R DE),1971,66
12002,BEALL (R MD),1971,72
12032,WEICKER (R CT),1971,73
13100,BUCKLEY (Conservative NY),1971,74
13101,CHILES (D FL),1971,75
14107,JOHNSTON (D LA),1972,78
10736,HATHAWAY (D ME),1973,79
11029,MCCLURE (R ID),1973,81
11048,SCOTT (R VA),1973,80
13000,ABOUREZK (D SD),1973,82
14101,BIDEN (D DE),1973,89
14102,CLARK (D IA),1973,86
14103,DOMENICI (R NM),1973,88
14104,HASKELL (D CO),1973,87
14105,HELMS (R NC),1973,84
14106,HUDDLESTON (D KY),1973,85
14108,NUNN (D GA),1973,77
14302,FORD (D KY),1974,93
14303,GARN (R UT),1974,91
14304,GLENN (D OH),1974,92
10715,CULVER (D IA),1975,96
14077,LAXALT (R NV),1974,90
14300,BUMPERS (D AR),1975,97
14305,HART (D CO),1975,99
14307,LEAHY (D VT),1975,100
14308,MORGAN (D NC),1975,98
14309,STONE (D FL),1975,95
14310,DURKIN (D NH),1975,
99905,FORD (R USA),,
