"","name","icpsrLegis"
"65","MONTOYA (D NM)",6611
"302","SUNUNU (R NH)",29740
"307","SALAZAR (D CO)",40500
"308","MARTINEZ (R FL)",40501
"312","MENENDEZ (D NJ)",29373
"354","RUBIO (R FL)",41102
