icpsrLegis,name,freshmanYear,sen
1366,BYRD (D WV),1959,2
4812,INOUYE (D HI),1963,5
9369,THURMOND (R SC),1954,1
10513,DOLE (R KS),1969,9
10791,PRYOR (D AR),1979,31
10808,KENNEDY (D MA),1962,4
10818,PELL (D RI),1961,3
11044,ROTH (R DE),1971,11
11203,HATFIELD (R OR),1967,7
11204,HOLLINGS (D SC),1966,6
12107,PACKWOOD (R OR),1969,10
12109,STEVENS (R AK),1968,8
13039,SARBANES (D MD),1977,22
13056,BREAUX (D LA),1987,52
14009,COCHRAN (R MS),1978,28
14010,COHEN (R ME),1979,32
14031,LOTT (R MS),1989,62
14101,BIDEN (D DE),1973,16
14103,DOMENICI (R NM),1973,15
14105,HELMS (R NC),1973,14
14107,JOHNSTON (D LA),1972,13
14108,NUNN (D GA),1973,12
14203,BAUCUS (D MT),1978,26
14213,DODD (D CT),1981,38
14226,GRASSLEY (R IA),1981,39
14230,HARKIN (D IA),1985,48
14240,JEFFORDS (R VT),1989,63
14268,PRESSLER (R SD),1979,33
14275,SIMON (D IL),1985,47
14300,BUMPERS (D AR),1975,19
14302,FORD (D KY),1974,18
14304,GLENN (D OH),1974,17
14307,LEAHY (D VT),1975,20
14400,AKAKA (D HI),1990,72
14440,MIKULSKI (D MD),1987,53
14500,CHAFEE (R RI),1976,21
14503,HATCH (R UT),1977,25
14506,LUGAR (R IN),1977,24
14508,MOYNIHAN (D NY),1977,23
14617,DASCHLE (D SD),1987,55
14628,GRAMM (R TX),1985,49
14661,SNOWE (R ME),1995,92
14702,BRADLEY (D NJ),1979,36
14704,EXON (D NE),1979,34
14705,HEFLIN (D AL),1979,37
14708,KASSEBAUM (R KS),1979,27
14709,LEVIN (D MI),1979,35
14710,SIMPSON (R WY),1979,29
14712,WARNER (R VA),1979,30
14803,BROWN (R CO),1991,74
14806,COATS (R IN),1989,64
14809,CRAIG (R ID),1991,75
14812,DORGAN (D ND),1992,78
14826,GREGG (R NH),1993,80
14871,WYDEN (D OR),1996,
14900,D'AMATO (R NY),1981,40
14904,GORTON (R WA),1981,61
14907,MURKOWSKI (R AK),1981,43
14908,NICKLES (R OK),1981,42
14910,SPECTER (R PA),1981,41
14912,BINGAMAN (D NM),1983,45
14914,LAUTENBERG (D NJ),1982,44
14920,KERRY (D MA),1985,46
14921,MCCONNELL (R KY),1985,50
14922,ROCKEFELLER (D WV),1985,51
15011,BOXER (D CA),1993,79
15020,DEWINE (R OH),1995,93
15037,MACK (R FL),1989,65
15039,MCCAIN (R AZ),1987,56
15054,REID (D NV),1987,57
15116,SMITH (R NH),1991,73
15407,CAMPBELL (D CO),1993,81
15424,INHOFE (R OK),1994,90
15429,KYL (R AZ),1995,94
15501,BOND (R MO),1987,59
15502,CONRAD (D ND),1987,60
15503,GRAHAM (D FL),1987,58
15633,THOMAS (R WY),1995,95
15700,BRYAN (D NV),1989,67
15701,BURNS (R MT),1989,71
15702,KERREY (D NE),1989,68
15703,KOHL (D WI),1989,69
15704,LIEBERMAN (D CT),1989,70
15705,ROBB (D VA),1989,66
29141,SANTORUM (R PA),1995,96
29367,GRAMS (R MN),1995,97
49101,WELLSTONE (D MN),1991,76
49300,FEINSTEIN (D CA),1992,77
49301,COVERDELL (R GA),1993,84
49302,KEMPTHORNE (R ID),1993,88
49303,MOSELEY-BRA (D IL),1993,82
49304,FAIRCLOTH (R NC),1993,83
49306,HUTCHISON (R TX),1993,89
49307,BENNETT (R UT),1993,87
49308,MURRAY (D WA),1993,86
49309,FEINGOLD (D WI),1993,85
49500,ABRAHAM (R MI),1995,99
49501,ASHCROFT (R MO),1995,98
49502,FRIST (R TN),1995,100
49503,THOMPSON (R TN),1994,91
49504,FRAHM (R KS),1996,
94659,SHELBY (R AL),1987,54
95407,CAMPBELL (R CO),1993,81
99909,CLINTON (D USA),,
