,name,icpsrLegis,freshmanYear
1101,INHOFE (R OK),15424,1994
1112,MATHEWS (D TN),49305,1993
1114,HUTCHISON (R TX),49306,1993
1116,KRUEGER (D TX),14247,1993
1117,BENNETT (R UT),49307,1993
1124,MURRAY (D WA),49308,1993
1127,FEINGOLD (D WI),49309,1993
1133,SHELBY (R AL),94659,1987
1136,KYL (R AZ),15429,1995
1144,CAMPBELL (R CO),95407,1993
1164,FRAHM (R KS),49504,1996
1171,SNOWE (R ME),14661,1995
1176,ABRAHAM (R MI),49500,1995
1178,GRAMS (R MN),29367,1995
1182,ASHCROFT (R MO),49501,1995
1202,DEWINE (R OH),15020,1995
1208,WYDEN (D OR),14871,1996
1209,SANTORUM (R PA),29141,1995
1217,FRIST (R TN),49502,1995
1218,THOMPSON (R TN),49503,1994
1234,THOMAS (R WY),15633,1995
1236,SESSIONS (R AL),49700,1997
1243,HUTCHINSON (R AR),29306,1997
1246,ALLARD (R CO),29108,1997
1254,CLELAND (D GA),49701,1997
1260,DURBIN (D IL),15021,1997
1266,BROWNBACK (R KS),29523,1996
1267,ROBERTS (R KS),14852,1997
1271,LANDRIEU (D LA),49702,1997
1272,COLLINS (R ME),49703,1997
1288,HAGEL (R NE),49704,1997
1295,TORRICELLI (D NJ),15071,1997
1308,SMITH (R OR),49705,1997
1313,REED (D RI),29142,1997
1317,JOHNSON (D SD),15425,1997
1334,ENZI (R WY),49706,1997
1344,LINCOLN (D AR),29305,1999
1357,MILLER (D GA),49904,2000
1361,CRAPO (R ID),29345,1999
1363,FITZGERALD (R IL),49900,1999
1364,BAYH (D IN),49901,1999
1370,BUNNING (R KY),15406,1999
1401,SCHUMER (D NY),14858,1999
1402,EDWARDS (D NC),49902,1999
1407,VOINOVICH (R OH),49903,1999
1415,CHAFEE (R RI) 49905,49905,1999
1439,BUSH (R USA),99910,
1455,CARPER (D DE),15015,2001
1457,NELSON (D FL),14651,2001
1482,STABENOW (D MI),29732,2001
1484,DAYTON (D MN),40101,2001
1486,BARKLEY (Indep MN),40106,2002
1489,CARNAHAN (D MO),40102,2001
1494,NELSON (D NE),40103,2001
1495,ENSIGN (R NV),29537,2001
1499,CORZINE (D NJ),40104,2001
1503,CLINTON (D NY),40105,2001
1517,CHAFEE (R RI),49905,1999
1530,JEFFORDS (Indep VT),94240,1989
1532,ALLEN (R VA),29148,2001
1534,CANTWELL (D WA),39310,2001
1545,MURKOWSKI (R AK),40300,2002
1549,PRYOR (D AR),40301,2003
1561,CHAMBLISS (R GA),29512,2003
1588,COLEMAN (R MN),40302,2003
1591,TALENT (R MO),29369,2002
1600,SUNUNU (R NH),29740,2003
1608,DOLE (R NC),40303,2003
1622,GRAHAM (R SC),29566,2003
1626,ALEXANDER (R TN),40304,2003
1627,CORNYN (R TX),40305,2002
1655,SALAZAR (D CO),40500,2005
1660,MARTINEZ (R FL),40501,2005
1663,ISAKSON (R GA),29909,2005
1669,OBAMA (D IL),40502,2005
1678,VITTER (R LA),29918,2005
1703,MENENDEZ (D NJ),29373,2006
1709,BURR (R NC),29548,2005
1716,COBURN (R OK),29555,2005
1723,DEMINT (R SC),29936,2005
1725,THUNE (R SD),29754,2005
1785,CARDIN (D MD),15408,2007
1790,KLOBUCHAR (D MN),40700,2007
1794,WICKER (R MS),29534,2007
1795,MCCASKILL (D MO),40701,2007
1798,TESTER (D MT),40702,2007
1815,BROWN (D OH),29389,2007
1821,CASEY (D PA),40703,2007
1823,WHITEHOUSE (D RI),40704,2007
1829,CORKER (R TN),40705,2007
1835,SANDERS (Indep VT),29147,2007
1837,WEBB (D VA),40706,2007
1847,BARASSO (R WY),40707,2007
1848,OBAMA (D USA),99911,
1852,BEGICH (D AK),40900,2009
1859,UDALL (D CO),29906,2009
1861,BENNET (D CO),40910,2009
1865,KAUFMAN (D DE),40901,2009
1866,COONS (D DE),40916,2010
1869,LEMIEUX (R FL),40911,2009
1875,RISCH (R ID),40902,2009
1878,BURRIS (D IL),40903,2009
1879,KIRK (R IL),20115,2010
1895,KIRK (D MA),40912,2009
1896,BROWN (R MA),40913,2010
1901,FRANKEN (D MN),40904,2009
1908,JOHANNS (R NE),40905,2009
1913,SHAHEEN (D NH),40906,2009
1917,UDALL (D NM),29924,2009
1919,GILLIBRAND (D NY),20735,2009
1922,HAGAN (D NC),40907,2009
1929,MERKLEY (D OR),40908,2009
1933,SPECTER (D PA),94910,1981
1949,WARNER (D VA),40909,2009
1953,GOODWIN (D WV),40914,2010
1954,MANCHIN (D WV),40915,2010
1968,BOOZMAN (R AR),20101,2011
1973,BLUMENTHAL (D CT),41101,2011
1977,RUBIO (R FL),41102,2011
1983,SCHATZ (D HI),41112,2012
1992,MORAN (R KS),29722,2011
1994,PAUL (R KY),41104,2011
2011,BLUNT (R MO),29735,2011
2017,HELLER (R NV),20730,2011
2019,AYOTTE (R NH),41106,2011
2030,HOEVEN (R ND),41107,2011
2032,PORTMAN (R OH),29386,2011
2038,TOOMEY (R PA),29935,2011
2049,LEE (R UT),41110,2011
2059,JOHNSON (R WI),41111,2011
