icpsrLegis,name,freshmanYear,sen
2822,EASTLAND (D MS),1941,1
6151,MCCLELLAN (D AR),1943,2
5913,MAGNUSON (D WA),1944,3
10450,YOUNG (R ND),1945,4
8764,SPARKMAN (D AL),1946,5
8883,STENNIS (D MS),1947,6
4728,HUMPHREY (D MN),1949,54
3658,GOLDWATER (R AZ),1953,43
4851,JACKSON (D WA),1953,8
9369,THURMOND (R SC),1954,11
1569,CASE (R NJ),1955,10
2267,CURTIS (R NE),1955,9
1721,CHURCH (D ID),1957,13
4898,JAVITS (R NY),1957,14
7638,PROXMIRE (D WI),1957,15
9174,TALMADGE (D GA),1957,12
7722,RANDOLPH (D WV),1958,16
1366,BYRD (D WV),1959,17
1482,CANNON (D NV),1959,20
6831,MUSKIE (D ME),1959,19
10147,WILLIAMS (D NJ),1959,18
14100,BARTLETT (R OK),1973,65
1252,BURDICK (D ND),1960,21
6442,METCALF (D MT),1961,22
10818,PELL (D RI),1961,23
10823,TOWER (R TX),1961,24
10808,KENNEDY (D MA),1962,26
10810,MCINTYRE (D NH),1962,27
10817,PEARSON (R KS),1962,25
4812,INOUYE (D HI),1963,30
6256,MCGOVERN (D SD),1963,29
7847,RIBICOFF (D CT),1963,28
10800,BAYH (D IN),1963,31
10816,NELSON (D WI),1963,32
10802,BYRD (Indep VA),1965,33
3824,GRIFFIN (R MI),1966,34
5767,LONG (D LA),1948,7
11204,HOLLINGS (D SC),1966,35
11200,BAKER (R TN),1967,39
11201,BROOKE (R MA),1967,38
11202,HANSEN (R WY),1967,36
11203,HATFIELD (R OR),1967,40
11205,PERCY (R IL),1967,37
12109,STEVENS (R AK),1968,41
10513,DOLE (R KS),1969,46
10535,MATHIAS (R MD),1969,45
10557,SCHWEIKER (R PA),1969,44
12100,ALLEN (D AL),1969,49
12101,BELLMON (R OK),1969,47
12103,CRANSTON (D CA),1969,48
12104,EAGLETON (D MO),1969,42
12105,GRAVEL (D AK),1969,51
12107,PACKWOOD (R OR),1969,50
13102,STEVENSON (D IL),1970,52
660,BENTSEN (D TX),1971,55
10562,STAFFORD (R VT),1971,58
11044,ROTH (R DE),1971,53
12032,WEICKER (R CT),1971,56
13101,CHILES (D FL),1971,57
14107,JOHNSTON (D LA),1972,60
10736,HATHAWAY (D ME),1973,61
11029,MCCLURE (R ID),1973,63
11048,SCOTT (R VA),1973,62
13000,ABOUREZK (D SD),1973,64
14101,BIDEN (D DE),1973,71
14102,CLARK (D IA),1973,68
14103,DOMENICI (R NM),1973,70
14104,HASKELL (D CO),1973,69
14105,HELMS (R NC),1973,66
14106,HUDDLESTON (D KY),1973,67
14108,NUNN (D GA),1972,59
14073,METZENBAUM (D OH),1974,85
14302,FORD (D KY),1974,75
14303,GARN (R UT),1974,73
14304,GLENN (D OH),1974,74
10715,CULVER (D IA),1975,77
14077,LAXALT (R NV),1975,72
14300,BUMPERS (D AR),1975,78
14305,HART (D CO),1975,80
14307,LEAHY (D VT),1975,81
14308,MORGAN (D NC),1975,79
14309,STONE (D FL),1975,76
14310,DURKIN (D NH),1975,82
14500,CHAFEE (R RI),1976,86
14512,ZORINSKY (D NE),1976,84
14513,ANDERSON (D MN),1976,88
10605,MATSUNAGA (D HI),1977,90
11043,RIEGLE (D MI),1977,87
12039,MELCHER (D MT),1977,91
13039,SARBANES (D MD),1977,93
13050,HEINZ (R PA),1977,92
14501,DANFORTH (R MO),1977,83
14502,DECONCINI (D AZ),1977,97
14503,HATCH (R UT),1977,98
14504,HAYAKAWA (R CA),1977,89
14506,LUGAR (R IN),1977,95
14508,MOYNIHAN (D NY),1977,94
14509,SASSER (D TN),1977,96
14510,SCHMITT (R NM),1977,99
14511,WALLOP (R WY),1977,100
14514,HODGES (D AR),1977,
14515,HATFIELD (D MT),1978,
14516,HUMPHREY (D MN) 14516,1978,
14517,ALLEN (D AL) 14517,1978,
99906,CARTER (D USA),,
