,name,icpsrLegis,congress
1218,THOMPSON (R TN),49503,107
1234,THOMAS (R WY),15633,110
1236,SESSIONS (R AL),49700,
1243,HUTCHINSON (R AR),29306,
1246,ALLARD (R CO),29108,110
1254,CLELAND (D GA),49701,
1260,DURBIN (D IL),15021,
1266,BROWNBACK (R KS),29523,111
1267,ROBERTS (R KS),14852,
1271,LANDRIEU (D LA),49702,
1272,COLLINS (R ME),49703,
1288,HAGEL (R NE),49704,110
1295,TORRICELLI (D NJ),15071,107
1308,SMITH (R OR),49705,
1313,REED (D RI),29142,
1317,JOHNSON (D SD),15425,
1334,ENZI (R WY),49706,
1344,LINCOLN (D AR),29305,
1357,MILLER (D GA),49904,108
1361,CRAPO (R ID),29345,
1363,FITZGERALD (R IL),49900,108
1364,BAYH (D IN),49901,111
1370,BUNNING (R KY),15406,111
1401,SCHUMER (D NY),14858,
1402,EDWARDS (D NC),49902,108
1407,VOINOVICH (R OH),49903,111
1415,CHAFEE (R RI) 49905,49905,
1439,BUSH (R USA),99910,
1455,CARPER (D DE),15015,
1457,NELSON (D FL),14651,
1482,STABENOW (D MI),29732,
1484,DAYTON (D MN),40101,109
1486,BARKLEY (Indep MN),40106,107
1489,CARNAHAN (D MO),40102,
1494,NELSON (D NE),40103,112
1495,ENSIGN (R NV),29537,
1499,CORZINE (D NJ),40104,
1503,CLINTON (D NY),40105,
1517,CHAFEE (R RI),49905,
1530,JEFFORDS (Indep VT),94240,109
1532,ALLEN (R VA),29148,
1534,CANTWELL (D WA),39310,
1545,MURKOWSKI (R AK),40300,
1549,PRYOR (D AR),40301,
1561,CHAMBLISS (R GA),29512,
1588,COLEMAN (R MN),40302,
1591,TALENT (R MO),29369,
1600,SUNUNU (R NH),29740,
1608,DOLE (R NC),40303,
1622,GRAHAM (R SC),29566,
1626,ALEXANDER (R TN),40304,
1627,CORNYN (R TX),40305,
1655,SALAZAR (D CO),40500,
1660,MARTINEZ (R FL),40501,
1663,ISAKSON (R GA),29909,
1669,OBAMA (D IL),40502,110
1678,VITTER (R LA),29918,
1703,MENENDEZ (D NJ),29373,
1709,BURR (R NC),29548,
1716,COBURN (R OK),29555,
1723,DEMINT (R SC),29936,
1725,THUNE (R SD),29754,
1785,CARDIN (D MD),15408,
1790,KLOBUCHAR (D MN),40700,
1794,WICKER (R MS),29534,
1795,MCCASKILL (D MO),40701,
1798,TESTER (D MT),40702,
1815,BROWN (D OH),29389,
1821,CASEY (D PA),40703,
1823,WHITEHOUSE (D RI),40704,
1829,CORKER (R TN),40705,
1835,SANDERS (Indep VT),29147,
1837,WEBB (D VA),40706,112
1847,BARASSO (R WY),40707,
1848,OBAMA (D USA),99911,
1852,BEGICH (D AK),40900,
1859,UDALL (D CO),29906,
1861,BENNET (D CO),40910,
1865,KAUFMAN (D DE),40901,111
1866,COONS (D DE),40916,
1869,LEMIEUX (R FL),40911,111
1875,RISCH (R ID),40902,
1878,BURRIS (D IL),40903,111
1879,KIRK (R IL),20115,
1895,KIRK (D MA),40912,111
1896,BROWN (R MA),40913,
1901,FRANKEN (D MN),40904,
1908,JOHANNS (R NE),40905,
1913,SHAHEEN (D NH),40906,
1917,UDALL (D NM),29924,
1919,GILLIBRAND (D NY),20735,
1922,HAGAN (D NC),40907,
1929,MERKLEY (D OR),40908,
1933,SPECTER (D PA),94910,
1949,WARNER (D VA),40909,
1953,GOODWIN (D WV),40914,111
1954,MANCHIN (D WV),40915,
1968,BOOZMAN (R AR),20101,
1973,BLUMENTHAL (D CT),41101,
1977,RUBIO (R FL),41102,
1983,SCHATZ (D HI),41112,
1992,MORAN (R KS),29722,
1994,PAUL (R KY),41104,
2011,BLUNT (R MO),29735,
2017,HELLER (R NV),20730,
2019,AYOTTE (R NH),41106,
2030,HOEVEN (R ND),41107,
2032,PORTMAN (R OH),29386,
2038,TOOMEY (R PA),29935,
2049,LEE (R UT),41110,
2059,JOHNSON (R WI),41111,
