icpsrLegis,first_congress_in_dataset,last_congress_in_dataset,mc,stabb,first_year,class
14226,97,112,GRASSLEY (R IA),IA,,
12105,93,96,GRAVEL (D AK),AK,,
14826,103,111,GREGG (R NH),NH,,
3824,93,95,GRIFFIN (R MI),MI,,
10593,93,93,GURNEY (R FL),FL,,
40907,111,112,HAGAN (D NC),NC,,
49704,105,110,HAGEL (R NE),NE,,
11202,93,95,HANSEN (R WY),WY,,
14230,99,112,HARKIN (D IA),IA,,
14305,94,99,HART (D CO),CO,,
4148,93,94,HART (D MI),MI,,
4154,93,94,HARTKE (D IN),IN,,
14104,93,95,HASKELL (D CO),CO,,
14503,95,112,HATCH (R UT),UT,,
14515,95,95,HATFIELD (D MT),MT,,
11203,93,104,HATFIELD (R OR),OR,,
10736,93,95,HATHAWAY (D ME),ME,,
14905,97,99,HAWKINS (R FL),FL,,
14504,95,97,HAYAKAWA (R CA),CA,,
14913,98,100,HECHT (R NV),NV,,
14705,96,104,HEFLIN (D AL),AL,,
13050,95,102,HEINZ (R PA),PA,,
20730,112,112,HELLER (R NV),NV,,
14105,93,107,HELMS (R NC),NC,,
14514,95,95,HODGES (D AR),AR,,
41107,112,112,HOEVEN (R ND),ND,,
11204,93,108,HOLLINGS (D SC),SC,,
4660,93,94,HRUSKA (R NE),NE,,
14106,93,98,HUDDLESTON (D KY),KY,,
12106,93,93,HUGHES (D IA),IA,,
4728,93,95,HUMPHREY (D MN),MN,,
14516,95,95,HUMPHREY (D MN) 14516,MN,,
14706,96,101,HUMPHREY (R NH),NH,,
29306,105,107,HUTCHINSON (R AR),AR,,
49306,103,112,HUTCHISON (R TX),TX,,
15424,103,112,INHOFE (R OK),OK,,
4812,93,112,INOUYE (D HI),HI,,
29909,109,112,ISAKSON (R GA),GA,,
4851,93,98,JACKSON (D WA),WA,,
4898,93,96,JAVITS (R NY),NY,,
94240,107,109,JEFFORDS (Indep VT),VT,,
14240,101,107,JEFFORDS (R VT),VT,,
14707,96,98,JEPSEN (R IA),IA,,
40905,111,112,JOHANNS (R NE),NE,,
15425,105,112,JOHNSON (D SD),SD,,
41111,112,112,JOHNSON (R WI),WI,,
14107,93,104,JOHNSTON (D LA),LA,,
15505,100,100,KARNES (R NE),NE,,
14708,96,104,KASSEBAUM (R KS),KS,,
14242,97,102,KASTEN (R WI),WI,,
40901,111,111,KAUFMAN (D DE),DE,,
49302,103,105,KEMPTHORNE (R ID),ID,,
10808,93,111,KENNEDY (D MA),MA,,
15702,101,106,KERREY (D NE),NE,,
14920,99,112,KERRY (D MA),MA,,
40912,111,111,KIRK (D MA),MA,,
20115,111,112,KIRK (R IL),IL,,
40700,110,112,KLOBUCHAR (D MN),MN,,
15703,101,112,KOHL (D WI),WI,,
14247,103,103,KRUEGER (D TX),TX,,
15429,104,112,KYL (R AZ),AZ,,
49702,105,112,LANDRIEU (D LA),LA,,
14914,98,112,LAUTENBERG (D NJ),NJ,,
14077,93,99,LAXALT (R NV),NV,,
14307,94,112,LEAHY (D VT),VT,,
41110,112,112,LEE (R UT),UT,,
40911,111,111,LEMIEUX (R FL),FL,,
14709,96,112,LEVIN (D MI),MI,,
15704,101,112,LIEBERMAN (D CT),CT,,
29305,106,111,LINCOLN (D AR),AR,,
5767,93,99,LONG (D LA),LA,,
14031,101,110,LOTT (R MS),MS,,
14506,95,112,LUGAR (R IN),IN,,
15037,101,106,MACK (R FL),FL,,
5913,93,96,MAGNUSON (D WA),WA,,
40915,111,112,MANCHIN (D WV),WV,,
5967,93,94,MANSFIELD (D MT),MT,,
40501,109,111,MARTINEZ (R FL),FL,,
49305,103,103,MATHEWS (D TN),TN,,
10535,93,99,MATHIAS (R MD),MD,,
10605,95,101,MATSUNAGA (D HI),HI,,
14906,97,99,MATTINGLY (R GA),GA,,
15039,100,112,MCCAIN (R AZ),AZ,,
40701,110,112,MCCASKILL (D MO),MO,,
6151,93,95,MCCLELLAN (D AR),AR,,
11029,93,101,MCCLURE (R ID),ID,,
14921,99,112,MCCONNELL (R KY),KY,,
6249,93,94,MCGEE (D WY),WY,,
6256,93,96,MCGOVERN (D SD),SD,,
10810,93,95,MCINTYRE (D NH),NH,,
12039,95,100,MELCHER (D MT),MT,,
29373,109,112,MENENDEZ (D NJ),NJ,,
40908,111,112,MERKLEY (D OR),OR,,
6442,93,95,METCALF (D MT),MT,,
14073,93,103,METZENBAUM (D OH),OH,,
14440,100,112,MIKULSKI (D MD),MD,,
49904,106,108,MILLER (D GA),GA,,
14713,96,103,MITCHELL (D ME),ME,,
10813,93,94,MONDALE (D MN),MN,,
6611,93,94,MONTOYA (D NM),NM,,
29722,112,112,MORAN (R KS),KS,,
14308,94,96,MORGAN (D NC),NC,,
49303,103,105,MOSELEY-BRA (D IL),IL,,
6754,93,94,MOSS (D UT),UT,,
14508,95,106,MOYNIHAN (D NY),NY,,
14907,97,107,MURKOWSKI (R AK),AK,,
40300,108,112,MURKOWSKI (R AK),AK,,
49308,103,112,MURRAY (D WA),WA,,
6831,93,96,MUSKIE (D ME),ME,,
14651,107,112,NELSON (D FL),FL,,
40103,107,112,NELSON (D NE),NE,,
10816,93,96,NELSON (D WI),WI,,
14908,97,108,NICKLES (R OK),OK,,
14108,93,104,NUNN (D GA),GA,,
40502,109,110,OBAMA (D IL),IL,,
12107,93,104,PACKWOOD (R OR),OR,,
7229,93,94,PASTORE (D RI),RI,,
41104,112,112,PAUL (R KY),KY,,
10817,93,95,PEARSON (R KS),KS,,
10818,93,104,PELL (D RI),RI,,
11205,93,98,PERCY (R IL),IL,,
29386,112,112,PORTMAN (R OH),OH,,
14268,96,104,PRESSLER (R SD),SD,,
7638,93,100,PROXMIRE (D WI),WI,,
10791,96,104,PRYOR (D AR),AR,,
40301,108,112,PRYOR (D AR),AR,,
14447,97,100,QUAYLE (R IN),IN,,
7722,93,98,RANDOLPH (D WV),WV,,
29142,105,112,REED (D RI),RI,,
15054,100,112,REID (D NV),NV,,
7847,93,96,RIBICOFF (D CT),CT,,
11043,95,103,RIEGLE (D MI),MI,,
40902,111,112,RISCH (R ID),ID,,
15705,101,106,ROBB (D VA),VA,,
14852,105,112,ROBERTS (R KS),KS,,
14922,99,112,ROCKEFELLER (D WV),WV,,
11044,93,106,ROTH (R DE),DE,,
41102,112,112,RUBIO (R FL),FL,,
14909,97,102,RUDMAN (R NH),NH,,
40500,109,111,SALAZAR (D CO),CO,,
29147,110,112,SANDERS (Indep VT),VT,,
15504,100,102,SANFORD (D NC),NC,,
29141,104,109,SANTORUM (R PA),PA,,
13039,95,109,SARBANES (D MD),MD,,
14509,95,103,SASSER (D TN),TN,,
12108,93,93,SAXBE (R OH),OH,,
41112,112,112,SCHATZ (D HI),HI,,
14510,95,97,SCHMITT (R NM),NM,,
14858,106,112,SCHUMER (D NY),NY,,
10557,93,96,SCHWEIKER (R PA),PA,,
8301,93,94,SCOTT (R PA),PA,,
11048,93,95,SCOTT (R VA),VA,,
49700,105,112,SESSIONS (R AL),AL,,
49100,102,102,SEYMOUR (R CA),CA,,
40906,111,112,SHAHEEN (D NH),NH,,
14659,100,103,SHELBY (D AL),AL,,
94659,104,112,SHELBY (R AL),AL,,
14275,99,104,SIMON (D IL),IL,,
14710,96,104,SIMPSON (R WY),WY,,
15116,102,107,SMITH (R NH),NH,,
49705,105,110,SMITH (R OR),OR,,
14661,104,112,SNOWE (R ME),ME,,
8764,93,95,SPARKMAN (D AL),AL,,
94910,111,111,SPECTER (D PA),PA,,
14910,97,111,SPECTER (R PA),PA,,
29732,107,112,STABENOW (D MI),MI,,
10562,93,100,STAFFORD (R VT),VT,,
8883,93,100,STENNIS (D MS),MS,,
12109,93,110,STEVENS (R AK),AK,,
13102,93,96,STEVENSON (D IL),IL,,
14711,96,96,STEWART (D AL),AL,,
14309,94,96,STONE (D FL),FL,,
29740,108,110,SUNUNU (R NH),NH,,
9141,93,94,SYMINGTON (D MO),MO,,
14056,97,102,SYMMS (R ID),ID,,
10630,93,94,TAFT (R OH),OH,,
29369,108,109,TALENT (R MO),MO,,
9174,93,96,TALMADGE (D GA),GA,,
40702,110,112,TESTER (D MT),MT,,
15633,104,110,THOMAS (R WY),WY,,
49503,104,107,THOMPSON (R TN),TN,,
29754,109,112,THUNE (R SD),SD,,
9369,93,107,THURMOND (R SC),SC,,
29935,112,112,TOOMEY (R PA),PA,,
15071,105,107,TORRICELLI (D NJ),NJ,,
10823,93,98,TOWER (R TX),TX,,
14456,98,100,TRIBLE (R VA),VA,,
14279,96,98,TSONGAS (D MA),MA,,
10777,93,94,TUNNEY (D CA),CA,,
29906,111,112,UDALL (D CO),CO,,
29924,111,112,UDALL (D NM),NM,,
29918,109,112,VITTER (R LA),LA,,
49903,106,111,VOINOVICH (R OH),OH,,
14511,95,103,WALLOP (R WY),WY,,
40909,111,112,WARNER (D VA),VA,,
14712,96,110,WARNER (R VA),VA,,
40706,110,112,WEBB (D VA),VA,,
12032,93,100,WEICKER (R CT),CT,,
49101,102,107,WELLSTONE (D MN),MN,,
40704,110,112,WHITEHOUSE (D RI),RI,,
29534,110,112,WICKER (R MS),MS,,
10147,93,97,WILLIAMS (D NJ),NJ,,
14915,98,101,WILSON (R CA),CA,,
14282,100,102,WIRTH (D CO),CO,,
49104,102,103,WOFFORD (D PA),PA,,
14871,104,112,WYDEN (D OR),OR,,
10450,93,96,YOUNG (R ND),ND,,
14512,95,100,ZORINSKY (D NE),NE,,
