icpsrLegis,name,freshmanYear,sen
1366,BYRD (D WV),1959,1
10808,KENNEDY (D MA),1962,2
4812,INOUYE (D HI),1963,3
11204,HOLLINGS (D SC),1966,4
12109,STEVENS (R AK),1968,5
14101,BIDEN (D DE),1973,7
14103,DOMENICI (R NM),1973,6
14307,LEAHY (D VT),1975,8
13039,SARBANES (D MD),1977,9
14503,HATCH (R UT),1977,11
14506,LUGAR (R IN),1977,10
14009,COCHRAN (R MS),1978,13
14203,BAUCUS (D MT),1978,12
14709,LEVIN (D MI),1979,15
14712,WARNER (R VA),1979,14
14213,DODD (D CT),1981,16
14226,GRASSLEY (R IA),1981,17
14908,NICKLES (R OK),1981,19
14910,SPECTER (R PA),1981,18
14914,LAUTENBERG (D NJ),1982,93
14912,BINGAMAN (D NM),1983,20
14230,HARKIN (D IA),1985,22
14920,KERRY (D MA),1985,21
14921,MCCONNELL (R KY),1985,23
14922,ROCKEFELLER (D WV),1985,24
13056,BREAUX (D LA),1987,25
14440,MIKULSKI (D MD),1987,26
14617,DASCHLE (D SD),1987,28
15039,MCCAIN (R AZ),1987,29
15054,REID (D NV),1987,30
15501,BOND (R MO),1987,32
15502,CONRAD (D ND),1987,33
15503,GRAHAM (D FL),1987,31
94659,SHELBY (R AL),1987,27
14031,LOTT (R MS),1989,34
15701,BURNS (R MT),1989,38
15703,KOHL (D WI),1989,36
15704,LIEBERMAN (D CT),1989,37
94240,JEFFORDS (Indep VT),1989,35
14400,AKAKA (D HI),1990,39
14809,CRAIG (R ID),1991,40
14812,DORGAN (D ND),1992,42
49300,FEINSTEIN (D CA),1992,41
14826,GREGG (R NH),1993,44
15011,BOXER (D CA),1993,43
49306,HUTCHISON (R TX),1993,49
49307,BENNETT (R UT),1993,48
49308,MURRAY (D WA),1993,47
49309,FEINGOLD (D WI),1993,46
95407,CAMPBELL (R CO),1993,45
15424,INHOFE (R OK),1994,50
14661,SNOWE (R ME),1995,51
15020,DEWINE (R OH),1995,52
15429,KYL (R AZ),1995,53
15633,THOMAS (R WY),1995,54
29141,SANTORUM (R PA),1995,55
49502,FRIST (R TN),1995,56
14871,WYDEN (D OR),1996,57
29523,BROWNBACK (R KS),1996,58
14852,ROBERTS (R KS),1997,59
15021,DURBIN (D IL),1997,60
15425,JOHNSON (D SD),1997,61
29108,ALLARD (R CO),1997,62
29142,REED (D RI),1997,63
49700,SESSIONS (R AL),1997,65
49702,LANDRIEU (D LA),1997,64
49703,COLLINS (R ME),1997,68
49704,HAGEL (R NE),1997,67
49705,SMITH (R OR),1997,66
49706,ENZI (R WY),1997,69
14858,SCHUMER (D NY),1999,70
15406,BUNNING (R KY),1999,71
29305,LINCOLN (D AR),1999,73
29345,CRAPO (R ID),1999,72
49900,FITZGERALD (R IL),1999,76
49901,BAYH (D IN),1999,75
49902,EDWARDS (D NC),1999,77
49903,VOINOVICH (R OH),1999,74
49905,CHAFEE (R RI),1999,78
49904,MILLER (D GA),2000,79
14651,NELSON (D FL),2001,80
15015,CARPER (D DE),2001,81
29148,ALLEN (R VA),2001,84
29537,ENSIGN (R NV),2001,83
29732,STABENOW (D MI),2001,82
39310,CANTWELL (D WA),2001,85
40101,DAYTON (D MN),2001,89
40103,NELSON (D NE),2001,86
40104,CORZINE (D NJ),2001,88
40105,CLINTON (D NY),2001,87
29369,TALENT (R MO),2002,90
40300,MURKOWSKI (R AK),2002,92
40305,CORNYN (R TX),2002,91
29512,CHAMBLISS (R GA),2003,94
29566,GRAHAM (R SC),2003,95
29740,SUNUNU (R NH),2003,96
40301,PRYOR (D AR),2003,100
40302,COLEMAN (R MN),2003,99
40303,DOLE (R NC),2003,98
40304,ALEXANDER (R TN),2003,97
99910,BUSH (R USA),,
