"","name","icpsrLegis"
"44","BROOKE (R MA)",11201
"232","MOSELEY-BRA (D IL)",49303
"310","OBAMA (D IL)",40502
"329","OBAMA (D USA)",99911
"337","BURRIS (D IL)",40903
