icpsrLegis,name,freshmanYear,sen
52,AIKEN (R VT),1941,1
2822,EASTLAND (D MS),1941,2
6151,MCCLELLAN (D AR),1943,3
5913,MAGNUSON (D WA),1944,4
3388,FULBRIGHT (D AR),1945,5
10450,YOUNG (R ND),1945,6
8764,SPARKMAN (D AL),1946,7
8883,STENNIS (D MS),1947,8
4728,HUMPHREY (D MN),1949,79
7229,PASTORE (D RI),1950,10
645,BENNETT (R UT),1951,11
3658,GOLDWATER (R AZ),1953,64
4851,JACKSON (D WA),1953,12
5967,MANSFIELD (D MT),1953,13
9141,SYMINGTON (D MO),1953,14
688,BIBLE (D NV),1954,18
2087,COTTON (R NH),1954,16
2987,ERVIN (D NC),1954,15
4660,HRUSKA (R NE),1954,17
9369,THURMOND (R SC),1954,21
1569,CASE (R NJ),1955,20
2267,CURTIS (R NE),1955,19
1721,CHURCH (D ID),1957,23
4898,JAVITS (R NY),1957,24
7638,PROXMIRE (D WI),1957,25
9174,TALMADGE (D GA),1957,22
7722,RANDOLPH (D WV),1958,26
1366,BYRD (D WV),1959,28
1482,CANNON (D NV),1959,35
3255,FONG (R HI),1959,36
4148,HART (D MI),1959,31
4154,HARTKE (D IN),1959,32
6249,MCGEE (D WY),1959,34
6754,MOSS (D UT),1959,33
6831,MUSKIE (D ME),1959,30
8301,SCOTT (R PA),1959,27
10147,WILLIAMS (D NJ),1959,29
14100,BARTLETT (R OK),1973,94
1252,BURDICK (D ND),1961,37
6442,METCALF (D MT),1961,38
10818,PELL (D RI),1961,39
10823,TOWER (R TX),1961,40
10808,KENNEDY (D MA),1962,42
10810,MCINTYRE (D NH),1962,43
10817,PEARSON (R KS),1962,41
4812,INOUYE (D HI),1963,46
6256,MCGOVERN (D SD),1963,45
7847,RIBICOFF (D CT),1963,44
10514,DOMINICK (R CO),1963,47
10800,BAYH (D IN),1963,48
10816,NELSON (D WI),1963,49
6611,MONTOYA (D NM),1964,50
10813,MONDALE (D MN),1964,51
10802,BYRD (Indep VA),1965,53
10804,FANNIN (R AZ),1965,52
3824,GRIFFIN (R MI),1966,54
5767,LONG (D LA),1948,9
11204,HOLLINGS (D SC),1966,55
11200,BAKER (R TN),1967,59
11201,BROOKE (R MA),1967,58
11202,HANSEN (R WY),1967,56
11203,HATFIELD (R OR),1967,60
11205,PERCY (R IL),1967,57
12102,COOK (R KY),1968,61
12109,STEVENS (R AK),1968,62
10513,DOLE (R KS),1969,67
10535,MATHIAS (R MD),1969,66
10557,SCHWEIKER (R PA),1969,65
10593,GURNEY (R FL),1969,68
12100,ALLEN (D AL),1969,73
12101,BELLMON (R OK),1969,70
12103,CRANSTON (D CA),1969,71
12104,EAGLETON (D MO),1968,63
12105,GRAVEL (D AK),1969,75
12106,HUGHES (D IA),1969,69
12107,PACKWOOD (R OR),1969,74
12108,SAXBE (R OH),1969,72
13102,STEVENSON (D IL),1970,76
660,BENTSEN (D TX),1971,82
10562,STAFFORD (R VT),1971,87
10571,BROCK (R TN),1971,81
10630,TAFT (R OH),1971,80
10777,TUNNEY (D CA),1971,78
11044,ROTH (R DE),1971,77
12002,BEALL (R MD),1971,83
12032,WEICKER (R CT),1971,84
13100,BUCKLEY (Conservative NY),1971,85
13101,CHILES (D FL),1971,86
14107,JOHNSTON (D LA),1972,89
10736,HATHAWAY (D ME),1973,90
11029,MCCLURE (R ID),1973,92
11048,SCOTT (R VA),1973,91
13000,ABOUREZK (D SD),1973,93
14101,BIDEN (D DE),1973,100
14102,CLARK (D IA),1973,97
14103,DOMENICI (R NM),1973,99
14104,HASKELL (D CO),1973,98
14105,HELMS (R NC),1973,95
14106,HUDDLESTON (D KY),1973,96
14108,NUNN (D GA),1972,88
14073,METZENBAUM (D OH),1974,
14077,LAXALT (R NV),1975,
99904,NIXON (R USA),,
99905,FORD (R USA),,
