mc,icpsrLegis,seniority,congress
MCCAIN (R AZ),15039,8,108
REID (D NV),15054,8,108
BOND (R MO),15501,8,108
CONRAD (D ND),15502,8,108
GRAHAM (D FL),15503,8,108
SHELBY (R AL),94659,8,108
LOTT (R MS),14031,7,108
BURNS (R MT),15701,7,108
KOHL (D WI),15703,7,108
LIEBERMAN (D CT),15704,7,108
JEFFORDS (Indep VT),94240,7,108
AKAKA (D HI),14400,7,108
CRAIG (R ID),14809,6,108
DORGAN (D ND),14812,6,108
FEINSTEIN (D CA),49300,6,108
GREGG (R NH),14826,5,108
BOXER (D CA),15011,5,108
HUTCHISON (R TX),49306,5,108
BENNETT (R UT),49307,5,108
MURRAY (D WA),49308,5,108
FEINGOLD (D WI),49309,5,108
CAMPBELL (R CO),95407,5,108
INHOFE (R OK),15424,5,108
SNOWE (R ME),14661,4,108
DEWINE (R OH),15020,4,108
KYL (R AZ),15429,4,108
THOMAS (R WY),15633,4,108
SANTORUM (R PA),29141,4,108
FRIST (R TN),49502,4,108
WYDEN (D OR),14871,4,108
BROWNBACK (R KS),29523,4,108
ROBERTS (R KS),14852,3,108
DURBIN (D IL),15021,3,108
JOHNSON (D SD),15425,3,108
ALLARD (R CO),29108,3,108
REED (D RI),29142,3,108
SESSIONS (R AL),49700,3,108
LANDRIEU (D LA),49702,3,108
COLLINS (R ME),49703,3,108
HAGEL (R NE),49704,3,108
SMITH (R OR),49705,3,108
ENZI (R WY),49706,3,108
SCHUMER (D NY),14858,2,108
BUNNING (R KY),15406,2,108
LINCOLN (D AR),29305,2,108
CRAPO (R ID),29345,2,108
FITZGERALD (R IL),49900,2,108
BAYH (D IN),49901,2,108
EDWARDS (D NC),49902,2,108
VOINOVICH (R OH),49903,2,108
CHAFEE (R RI),49905,2,108
MILLER (D GA),49904,2,108
NELSON (D FL),14651,1,108
CARPER (D DE),15015,1,108
ALLEN (R VA),29148,1,108
ENSIGN (R NV),29537,1,108
STABENOW (D MI),29732,1,108
CANTWELL (D WA),39310,1,108
DAYTON (D MN),40101,1,108
NELSON (D NE),40103,1,108
CORZINE (D NJ),40104,1,108
CLINTON (D NY),40105,1,108
TALENT (R MO),29369,1,108
MURKOWSKI (R AK),40300,1,108
CORNYN (R TX),40305,1,108
CHAMBLISS (R GA),29512,0,108
GRAHAM (R SC),29566,0,108
SUNUNU (R NH),29740,0,108
PRYOR (D AR),40301,0,108
COLEMAN (R MN),40302,0,108
DOLE (R NC),40303,0,108
ALEXANDER (R TN),40304,0,108
THURMOND (R SC),9369,24,107
BYRD (D WV),1366,21,107
KENNEDY (D MA),10808,20,107
INOUYE (D HI),4812,19,107
HOLLINGS (D SC),11204,18,107
STEVENS (R AK),12109,17,107
BIDEN (D DE),14101,14,107
DOMENICI (R NM),14103,14,107
HELMS (R NC),14105,14,107
LEAHY (D VT),14307,13,107
SARBANES (D MD),13039,12,107
HATCH (R UT),14503,12,107
LUGAR (R IN),14506,12,107
COCHRAN (R MS),14009,12,107
BAUCUS (D MT),14203,12,107
LEVIN (D MI),14709,11,107
WARNER (R VA),14712,11,107
DODD (D CT),14213,10,107
GRASSLEY (R IA),14226,10,107
MURKOWSKI (R AK),14907,10,107
NICKLES (R OK),14908,10,107
SPECTER (R PA),14910,10,107
BINGAMAN (D NM),14912,9,107
HARKIN (D IA),14230,8,107
GRAMM (R TX),14628,8,107
KERRY (D MA),14920,8,107
MCCONNELL (R KY),14921,8,107
ROCKEFELLER (D WV),14922,8,107
BREAUX (D LA),13056,7,107
MIKULSKI (D MD),14440,7,107
DASCHLE (D SD),14617,7,107
MCCAIN (R AZ),15039,7,107
REID (D NV),15054,7,107
BOND (R MO),15501,7,107
CONRAD (D ND),15502,7,107
GRAHAM (D FL),15503,7,107
SHELBY (R AL),94659,7,107
LOTT (R MS),14031,6,107
JEFFORDS (R VT),14240,6,107
BURNS (R MT),15701,6,107
KOHL (D WI),15703,6,107
LIEBERMAN (D CT),15704,6,107
JEFFORDS (Indep VT),94240,6,107
AKAKA (D HI),14400,6,107
CRAIG (R ID),14809,5,107
SMITH (R NH),15116,6,107
WELLSTONE (D MN),49101,5,107
DORGAN (D ND),14812,5,107
FEINSTEIN (D CA),49300,5,107
GREGG (R NH),14826,4,107
BOXER (D CA),15011,4,107
HUTCHISON (R TX),49306,4,107
BENNETT (R UT),49307,4,107
MURRAY (D WA),49308,4,107
FEINGOLD (D WI),49309,4,107
CAMPBELL (R CO),95407,4,107
INHOFE (R OK),15424,4,107
THOMPSON (R TN),49503,4,107
SNOWE (R ME),14661,3,107
DEWINE (R OH),15020,3,107
KYL (R AZ),15429,3,107
THOMAS (R WY),15633,3,107
SANTORUM (R PA),29141,3,107
FRIST (R TN),49502,3,107
WYDEN (D OR),14871,3,107
BROWNBACK (R KS),29523,3,107
ROBERTS (R KS),14852,2,107
DURBIN (D IL),15021,2,107
TORRICELLI (D NJ),15071,2,107
JOHNSON (D SD),15425,2,107
ALLARD (R CO),29108,2,107
REED (D RI),29142,2,107
HUTCHINSON (R AR),29306,2,107
SESSIONS (R AL),49700,2,107
CLELAND (D GA),49701,2,107
LANDRIEU (D LA),49702,2,107
COLLINS (R ME),49703,2,107
HAGEL (R NE),49704,2,107
SMITH (R OR),49705,2,107
ENZI (R WY),49706,2,107
SCHUMER (D NY),14858,1,107
BUNNING (R KY),15406,1,107
LINCOLN (D AR),29305,1,107
CRAPO (R ID),29345,1,107
FITZGERALD (R IL),49900,1,107
BAYH (D IN),49901,1,107
EDWARDS (D NC),49902,1,107
VOINOVICH (R OH),49903,1,107
CHAFEE (R RI),49905,1,107
MILLER (D GA),49904,1,107
NELSON (D FL),14651,0,107
CARPER (D DE),15015,0,107
ALLEN (R VA),29148,0,107
ENSIGN (R NV),29537,0,107
STABENOW (D MI),29732,0,107
CANTWELL (D WA),39310,0,107
DAYTON (D MN),40101,0,107
CARNAHAN (D MO),40102,0,107
NELSON (D NE),40103,0,107
CORZINE (D NJ),40104,0,107
CLINTON (D NY),40105,0,107
BARKLEY (Indep MN),40106,0,107
THURMOND (R SC),9369,23,106
BYRD (D WV),1366,20,106
KENNEDY (D MA),10808,19,106
INOUYE (D HI),4812,18,106
HOLLINGS (D SC),11204,17,106
STEVENS (R AK),12109,16,106
ROTH (R DE),11044,14,106
BIDEN (D DE),14101,13,106
DOMENICI (R NM),14103,13,106
HELMS (R NC),14105,13,106
LEAHY (D VT),14307,12,106
CHAFEE (R RI),14500,12,106
SARBANES (D MD),13039,11,106
HATCH (R UT),14503,11,106
LUGAR (R IN),14506,11,106
MOYNIHAN (D NY),14508,11,106
COCHRAN (R MS),14009,11,106
BAUCUS (D MT),14203,11,106
LEVIN (D MI),14709,10,106
WARNER (R VA),14712,10,106
DODD (D CT),14213,9,106
GRASSLEY (R IA),14226,9,106
GORTON (R WA),14904,9,106
MURKOWSKI (R AK),14907,9,106
NICKLES (R OK),14908,9,106
SPECTER (R PA),14910,9,106
LAUTENBERG (D NJ),14914,9,106
BINGAMAN (D NM),14912,8,106
HARKIN (D IA),14230,7,106
GRAMM (R TX),14628,7,106
KERRY (D MA),14920,7,106
MCCONNELL (R KY),14921,7,106
ROCKEFELLER (D WV),14922,7,106
BREAUX (D LA),13056,6,106
MIKULSKI (D MD),14440,6,106
DASCHLE (D SD),14617,6,106
MCCAIN (R AZ),15039,6,106
REID (D NV),15054,6,106
BOND (R MO),15501,6,106
CONRAD (D ND),15502,6,106
GRAHAM (D FL),15503,6,106
SHELBY (R AL),94659,6,106
LOTT (R MS),14031,5,106
JEFFORDS (R VT),14240,5,106
MACK (R FL),15037,5,106
BRYAN (D NV),15700,5,106
BURNS (R MT),15701,5,106
KERREY (D NE),15702,5,106
KOHL (D WI),15703,5,106
LIEBERMAN (D CT),15704,5,106
ROBB (D VA),15705,5,106
AKAKA (D HI),14400,5,106
CRAIG (R ID),14809,4,106
SMITH (R NH),15116,5,106
WELLSTONE (D MN),49101,4,106
DORGAN (D ND),14812,4,106
FEINSTEIN (D CA),49300,4,106
GREGG (R NH),14826,3,106
BOXER (D CA),15011,3,106
COVERDELL (R GA),49301,3,106
HUTCHISON (R TX),49306,3,106
BENNETT (R UT),49307,3,106
MURRAY (D WA),49308,3,106
FEINGOLD (D WI),49309,3,106
CAMPBELL (R CO),95407,3,106
INHOFE (R OK),15424,3,106
THOMPSON (R TN),49503,3,106
SNOWE (R ME),14661,2,106
DEWINE (R OH),15020,2,106
KYL (R AZ),15429,2,106
THOMAS (R WY),15633,2,106
SANTORUM (R PA),29141,2,106
GRAMS (R MN),29367,2,106
ABRAHAM (R MI),49500,2,106
ASHCROFT (R MO),49501,2,106
FRIST (R TN),49502,2,106
WYDEN (D OR),14871,2,106
BROWNBACK (R KS),29523,2,106
ROBERTS (R KS),14852,1,106
DURBIN (D IL),15021,1,106
TORRICELLI (D NJ),15071,1,106
JOHNSON (D SD),15425,1,106
ALLARD (R CO),29108,1,106
REED (D RI),29142,1,106
HUTCHINSON (R AR),29306,1,106
SESSIONS (R AL),49700,1,106
CLELAND (D GA),49701,1,106
LANDRIEU (D LA),49702,1,106
COLLINS (R ME),49703,1,106
HAGEL (R NE),49704,1,106
SMITH (R OR),49705,1,106
ENZI (R WY),49706,1,106
SCHUMER (D NY),14858,0,106
BUNNING (R KY),15406,0,106
LINCOLN (D AR),29305,0,106
CRAPO (R ID),29345,0,106
FITZGERALD (R IL),49900,0,106
BAYH (D IN),49901,0,106
EDWARDS (D NC),49902,0,106
VOINOVICH (R OH),49903,0,106
CHAFEE (R RI) 49905,49905,0,106
CHAFEE (R RI),49905,0,106
MILLER (D GA),49904,0,106
THURMOND (R SC),9369,22,105
BYRD (D WV),1366,19,105
KENNEDY (D MA),10808,18,105
INOUYE (D HI),4812,17,105
HOLLINGS (D SC),11204,16,105
STEVENS (R AK),12109,15,105
ROTH (R DE),11044,13,105
BIDEN (D DE),14101,12,105
DOMENICI (R NM),14103,12,105
HELMS (R NC),14105,12,105
FORD (D KY),14302,12,105
GLENN (D OH),14304,12,105
BUMPERS (D AR),14300,11,105
LEAHY (D VT),14307,11,105
CHAFEE (R RI),14500,11,105
SARBANES (D MD),13039,10,105
HATCH (R UT),14503,10,105
LUGAR (R IN),14506,10,105
MOYNIHAN (D NY),14508,10,105
COCHRAN (R MS),14009,10,105
BAUCUS (D MT),14203,10,105
LEVIN (D MI),14709,9,105
WARNER (R VA),14712,9,105
DODD (D CT),14213,8,105
GRASSLEY (R IA),14226,8,105
D'AMATO (R NY),14900,8,105
GORTON (R WA),14904,4,105
MURKOWSKI (R AK),14907,8,105
NICKLES (R OK),14908,8,105
SPECTER (R PA),14910,8,105
LAUTENBERG (D NJ),14914,8,105
BINGAMAN (D NM),14912,7,105
HARKIN (D IA),14230,6,105
GRAMM (R TX),14628,6,105
KERRY (D MA),14920,6,105
MCCONNELL (R KY),14921,6,105
ROCKEFELLER (D WV),14922,6,105
BREAUX (D LA),13056,5,105
MIKULSKI (D MD),14440,5,105
DASCHLE (D SD),14617,5,105
MCCAIN (R AZ),15039,5,105
REID (D NV),15054,5,105
BOND (R MO),15501,5,105
CONRAD (D ND),15502,5,105
GRAHAM (D FL),15503,5,105
SHELBY (R AL),94659,5,105
LOTT (R MS),14031,4,105
JEFFORDS (R VT),14240,4,105
COATS (R IN),14806,4,105
MACK (R FL),15037,4,105
BRYAN (D NV),15700,4,105
BURNS (R MT),15701,4,105
KERREY (D NE),15702,4,105
KOHL (D WI),15703,4,105
LIEBERMAN (D CT),15704,4,105
ROBB (D VA),15705,4,105
AKAKA (D HI),14400,4,105
CRAIG (R ID),14809,3,105
SMITH (R NH),15116,4,105
WELLSTONE (D MN),49101,3,105
DORGAN (D ND),14812,3,105
FEINSTEIN (D CA),49300,3,105
GREGG (R NH),14826,2,105
BOXER (D CA),15011,2,105
COVERDELL (R GA),49301,2,105
KEMPTHORNE (R ID),49302,2,105
MOSELEY-BRA (D IL),49303,2,105
FAIRCLOTH (R NC),49304,2,105
HUTCHISON (R TX),49306,2,105
BENNETT (R UT),49307,2,105
MURRAY (D WA),49308,2,105
FEINGOLD (D WI),49309,2,105
CAMPBELL (R CO),95407,2,105
INHOFE (R OK),15424,2,105
THOMPSON (R TN),49503,2,105
SNOWE (R ME),14661,1,105
DEWINE (R OH),15020,1,105
