icpsrLegis,name,freshmanYear,sen
8883,STENNIS (D MS),1947,1
3658,GOLDWATER (R AZ),1953,19
4851,JACKSON (D WA),1953,3
9369,THURMOND (R SC),1954,4
7638,PROXMIRE (D WI),1957,5
7722,RANDOLPH (D WV),1958,6
1366,BYRD (D WV),1959,7
1252,BURDICK (D ND),1961,8
10818,PELL (D RI),1961,9
10823,TOWER (R TX),1961,10
10808,KENNEDY (D MA),1962,11
4812,INOUYE (D HI),1963,12
5767,LONG (D LA),1948,2
11204,HOLLINGS (D SC),1966,13
11200,BAKER (R TN),1967,15
11203,HATFIELD (R OR),1967,16
11205,PERCY (R IL),1967,14
12109,STEVENS (R AK),1968,17
10513,DOLE (R KS),1969,21
10535,MATHIAS (R MD),1969,20
12103,CRANSTON (D CA),1969,22
12104,EAGLETON (D MO),1969,18
12107,PACKWOOD (R OR),1969,23
660,BENTSEN (D TX),1971,25
10562,STAFFORD (R VT),1971,28
11044,ROTH (R DE),1971,24
12032,WEICKER (R CT),1971,26
13101,CHILES (D FL),1971,27
14107,JOHNSTON (D LA),1972,30
11029,MCCLURE (R ID),1973,31
14101,BIDEN (D DE),1973,35
14103,DOMENICI (R NM),1973,34
14105,HELMS (R NC),1973,32
14106,HUDDLESTON (D KY),1973,33
14108,NUNN (D GA),1972,29
14073,METZENBAUM (D OH),1974,45
14302,FORD (D KY),1974,39
14303,GARN (R UT),1974,37
14304,GLENN (D OH),1974,38
14077,LAXALT (R NV),1975,36
14300,BUMPERS (D AR),1975,40
14305,HART (D CO),1975,41
14307,LEAHY (D VT),1975,42
14500,CHAFEE (R RI),1976,46
14512,ZORINSKY (D NE),1976,44
10605,MATSUNAGA (D HI),1977,48
11043,RIEGLE (D MI),1977,47
12039,MELCHER (D MT),1977,49
13039,SARBANES (D MD),1977,51
13050,HEINZ (R PA),1977,50
14501,DANFORTH (R MO),1976,43
14502,DECONCINI (D AZ),1977,55
14503,HATCH (R UT),1977,56
14506,LUGAR (R IN),1977,53
14508,MOYNIHAN (D NY),1977,52
14509,SASSER (D TN),1977,54
14511,WALLOP (R WY),1977,57
14009,COCHRAN (R MS),1978,61
14203,BAUCUS (D MT),1978,59
14703,DURENBERGER (R MN),1978,58
10791,PRYOR (D AR),1979,65
14002,ARMSTRONG (R CO),1979,68
14010,COHEN (R ME),1979,66
14268,PRESSLER (R SD),1979,69
14279,TSONGAS (D MA),1979,67
14700,BOREN (D OK),1979,70
14701,BOSCHWITZ (R MN),1978,62
14702,BRADLEY (D NJ),1979,73
14704,EXON (D NE),1979,71
14705,HEFLIN (D AL),1979,74
14706,HUMPHREY (R NH),1979,76
14707,JEPSEN (R IA),1979,75
14708,KASSEBAUM (R KS),1978,60
14709,LEVIN (D MI),1979,72
14710,SIMPSON (R WY),1979,63
14712,WARNER (R VA),1979,64
14713,MITCHELL (D ME),1980,77
10569,ANDREWS (R ND),1981,81
14000,ABDNOR (R SD),1981,83
14056,SYMMS (R ID),1981,82
14213,DODD (D CT),1981,84
14226,GRASSLEY (R IA),1981,85
14242,KASTEN (R WI),1981,87
14447,QUAYLE (R IN),1981,86
14900,D'AMATO (R NY),1981,88
14901,DENTON (R AL),1981,80
14902,DIXON (D IL),1981,90
14903,EAST (R NC),1981,91
14904,GORTON (R WA),1981,93
14905,HAWKINS (R FL),1981,79
14906,MATTINGLY (R GA),1981,92
14907,MURKOWSKI (R AK),1981,95
14908,NICKLES (R OK),1981,94
14909,RUDMAN (R NH),1980,78
14910,SPECTER (R PA),1981,89
14914,LAUTENBERG (D NJ),1982,96
14456,TRIBLE (R VA),1983,97
14912,BINGAMAN (D NM),1983,99
14913,HECHT (R NV),1983,100
14915,WILSON (R CA),1983,98
14916,EVANS (R WA),1983,
99907,REAGAN (R USA),,
